chr	start	end	nCG	meanMethy1	meanMethy2
chr16	89212476	89213587	126	0.815637547067329	0.162791179284218
chrX	37630165	37631908	145	0.713569188425892	0.103498625545467
chr15	51430626	51432297	120	0.774457762388555	0.0949315967780821
chr11	1749024	1750259	156	0.862960905949873	0.28996259827192
chr5	67462790	67466453	106	0.851160145825608	0.140411387865873
chr2	29154455	29155314	94	0.848483440765993	0.0869412468573591
chrX	756263	757275	124	0.806282713635841	0.151246982335581
chr1	184571084	184573011	150	0.0534735630936604	0.617701647859382
chr14	103360175	103361322	118	0.824213234620965	0.148858808342816
chr7	60208076	60209103	102	0.844765670504082	0.123420773106644
chr10	100020425	100021453	89	0.920321130467203	0.191566937566779
chr16	88190330	88191473	142	0.784501675060032	0.172166650172476
chr5	12333449	12334731	102	0.789870812457739	0.0790783894566777
LNAT02073491	3562	5133	136	0.786519467141611	0.168027482281692
chr1	6669590	6672071	120	0.241202060279452	0.895016948287704
chr11	23474483	23475846	162	0.323541355990118	0.856401344397556
chr5	38121295	38122519	114	0.803635843229259	0.11631372557049
chr1	164523934	164525848	165	0.559585096722327	0.059120471136406
chr5	38230435	38232000	146	0.728153387320057	0.144633320147216
chr7	56842269	56843560	134	0.720707832227666	0.113474595512282
chr13	14914993	14916971	104	0.795099193692376	0.0906647410246999
chr7	58010732	58011784	134	0.816309716855671	0.206183535331212
chr11	1678889	1679705	118	0.843067853019049	0.186491822656895
chr13	50537858	50539789	152	0.236773414624462	0.82051140589096
chr11	1751260	1752741	142	0.645209537156944	0.0693111629969871
chr11	1630641	1631657	139	0.739437173753804	0.142712503238609
chr10	110092863	110093685	96	0.846118579770449	0.114145565146905
chr8	712720	713726	98	0.860805947163896	0.16587188476312
chr11	106601430	106603093	159	0.708408685419011	0.155684626417026
chr4	49251348	49253930	114	0.698944569681296	0.0525947248377827
chr13	50717621	50719141	124	0.75853133571097	0.120048923069
chr1	211509286	211510444	119	0.747847166612829	0.101753489978926
chr15	90982072	90982908	116	0.793597501393909	0.144361037827448
chr6	122473083	122474157	89	0.870528371253551	0.121356065163163
chr16	37592916	37595091	146	0.320614869739469	0.885934048285004
chr4	37494877	37496069	104	0.818654355831465	0.117676654684123
chr6	119887302	119888948	118	0.808418893777544	0.144430710438014
chr4	1314607	1315845	146	0.319696863087127	0.876668598827477
chr2	106285111	106286726	99	0.825324523140763	0.112995434129942
chr3	14398129	14399472	86	0.808349131681446	0.0637128373877445
chr7	59659057	59661144	150	0.631455140497697	0.08451561882312
chr11	10421594	10422928	97	0.786959695277317	0.0784515324362811
chr1	79342730	79344608	110	0.755985323593939	0.0864932940514775
chr8	118051899	118052924	150	0.588689767998162	0.0715378423760477
chr7	57015173	57016832	122	0.68458151403156	0.0731598121633451
chr15	34729543	34730305	149	0.665837579576212	0.103345932498193
chr6	81016632	81018256	134	0.662055110344082	0.0822320146810769
chrX	7093245	7094538	95	0.841368986219548	0.13197330122783
chr18	34058329	34059502	136	0.306670760763156	0.90046285534912
chr19	4776800	4778524	114	0.716260004749618	0.0697422012295131
chr17	10405327	10407135	140	0.780142435216599	0.186947384648387
chr6	101142199	101143139	152	0.589023114885297	0.073697950373434
chr4	62806166	62808360	140	0.741912606611578	0.162558783327449
chr4	2529088	2530184	114	0.801342183568127	0.143444058292666
chr6	129902101	129903484	147	0.258372062025492	0.816359453887832
chr3	16884744	16885792	81	0.906973396752353	0.136596116359764
chr10	79585687	79587555	118	0.770461181495031	0.144647291480022
chr5	37729497	37731370	152	0.323307080491157	0.859217704284527
chr15	7079163	7080715	135	0.637479666363025	0.0734525451032458
chr15	89761272	89761937	104	0.790079058106281	0.0985418528427927
chr7	55098512	55099752	128	0.769948853321485	0.159921272134601
chr1	106978625	106980142	127	0.267234464135645	0.871893444732286
chr13	58217254	58218965	127	0.280544248608254	0.881144007378818
chr10	13041982	13043099	98	0.847991113077836	0.163045487173702
chr3	50310669	50312514	86	0.848432989881977	0.109814398879575
chr6	102884707	102885778	95	0.842109364055746	0.136759872328612
chr10	3276905	3278052	108	0.72777485616163	0.0759049347695878
chr2	198294773	198296248	134	0.719754218258608	0.137623769637791
chr13	89483690	89485491	88	0.840082455835544	0.129003528391856
chr13	46140464	46141694	116	0.161492658551055	0.793057889204167
chr11	108212075	108213130	108	0.857709495125278	0.204030638929315
chr8	68187394	68188774	118	0.862668161002045	0.243781139253548
chr10	49837588	49838648	106	0.726288191101819	0.0732819757154801
chr1	119474947	119476502	116	0.774320959905888	0.149921013334354
chr19	30010115	30013213	104	0.797871507651172	0.127881582667227
chr14	41219404	41220617	148	0.67105361366183	0.133386198483583
chr8	53343521	53345229	117	0.692389446337157	0.0782313235813369
chr10	15256435	15257345	82	0.872503119660611	0.11644689151262
chr17	962921	963752	120	0.767392976721402	0.155313965742799
chr2	190544167	190545368	114	0.19148075043713	0.820988215372707
chr19	9754278	9755921	110	0.786577863075203	0.128946605878536
chr8	127358929	127359767	106	0.843120279261462	0.17520630029838
chr11	4334031	4334724	125	0.772782738644242	0.165334814028504
chr12	78288152	78289292	94	0.872511221310461	0.173839710342396
chr10	16425711	16426746	128	0.305803336262581	0.881473914209134
chr8	10514764	10516185	112	0.778122829496846	0.138781806449037
chr12	10922948	10923630	98	0.807688113671794	0.122235205975927
chr13	34158558	34160066	132	0.335674399916465	0.884245797127649
chr5	67171038	67172896	84	0.819460385925256	0.0910621083967957
chr3	14947302	14948668	98	0.780887575195217	0.10581596461807
chrX	34392978	34394300	96	0.804657017372184	0.109952822479581
chr15	88225241	88226744	149	0.24232011421995	0.761493997635072
chr2	197599522	197601075	124	0.84519021148096	0.234048330575488
chr4	7835489	7836767	116	0.702058133421049	0.0915929876217628
chr16	88226930	88227940	112	0.804027229079866	0.173939746235228
chr13	23655762	23657336	92	0.200462245300896	0.874037966071984
chr2	199720098	199721242	126	0.270652675227072	0.850123688626116
chr4	16035461	16036792	98	0.13662304766974	0.803849416284591
chr17	1295447	1297069	118	0.71923813806242	0.12005008258297
chr10	814631	815366	111	0.696013863630449	0.0823481930546909
chr16	89209867	89210738	94	0.79073513243531	0.119221334205233
chr3	27603261	27604944	92	0.818008541955886	0.120454646702879
chr15	88046730	88047678	104	0.750790402581357	0.117724826973269
chr10	37941649	37942823	108	0.773889864343181	0.146306479464708
chr7	140597030	140597930	106	0.801094569755058	0.157894837186455
chr17	21744010	21745107	85	0.770426796934753	0.086362856857464
chr13	50161149	50162040	98	0.780427086117683	0.118720603801639
chr9	48159533	48163120	88	0.723512115764278	0.0438218377225384
chr16	73461527	73462944	121	0.297231976010181	0.872098614995572
chr10	37919246	37920037	122	0.721565620085331	0.144046249311811
chr5	10132560	10134286	110	0.708318229802382	0.0964686676400208
chr2	194891040	194892551	93	0.807034858470026	0.129685346883204
chr4	13683961	13684871	96	0.852830681751008	0.189459513230374
chr16	87193601	87194421	80	0.831027697856703	0.0920075066692518
chr2	194742668	194743835	90	0.857106911265387	0.145881174185925
chr1	190863641	190865397	80	0.840445444977542	0.109017096234193
chr13	22260282	22261791	123	0.594328711647101	0.0520210082141871
chr5	15772420	15774119	88	0.202915681005953	0.874427405742667
chr15	87389251	87390300	90	0.817406388180051	0.125327568161756
chr4	54644908	54646377	123	0.682908910137714	0.117287347330283
chr16	83145200	83146294	119	0.318284800107195	0.890100345169856
chr1	166244980	166246035	76	0.865539370973268	0.120828985590647
chr4	63164767	63165965	92	0.787135281096426	0.111193764752359
chr3	88697825	88699301	90	0.201173062908524	0.881460121908763
chr14	10436816	10437674	107	0.67498642226528	0.0633687690997903
chrX	7995661	7996969	98	0.868283264751186	0.206226792197833
chr11	107769927	107770963	118	0.625228932565734	0.0588487816008867
chr8	63584869	63586558	105	0.75996748328654	0.125941964933511
chr16	64358071	64359315	98	0.161182892150276	0.820218644668009
chr9	19137747	19139320	94	0.705583582596901	0.0542550775389299
chr8	128312733	128315647	135	0.714001990056514	0.167251682959104
chrX	20895355	20896633	89	0.824484001313954	0.127740459682521
chr14	59130221	59132981	126	0.69473268868842	0.12708153937849
chr10	1288595	1289179	122	0.346946382122196	0.896102838813268
chr14	40705246	40706370	100	0.762822735662645	0.118210185496041
chr13	47161666	47163039	112	0.778869635060635	0.173328300234203
chr11	1740024	1740924	118	0.835951250999127	0.239298485284454
chr7	49382767	49384457	94	0.777008263299267	0.111537316193759
chr1	110859914	110861188	121	0.742846552488463	0.146475367547904
chr7	50161298	50162395	128	0.893165796078877	0.335010226641285
chr12	78284919	78286632	106	0.13261993355725	0.759818045795664
chr12	49313962	49314861	80	0.80916079159451	0.0863440163849104
chrX	35665004	35665781	92	0.874089617849086	0.205091037398019
chr2	194518791	194519580	104	0.815270158585598	0.191145548919777
chr3	15049927	15051087	90	0.766230563994442	0.0885119030487378
chr6	82020062	82020958	90	0.865114596223646	0.169960764326621
chr4	142947845	142948705	106	0.75275113833392	0.127229507550542
chrX	34196638	34197320	89	0.870123759342866	0.183353792783131
chrX	7034855	7036080	100	0.804475751716933	0.14427560297912
chr11	107977424	107978973	122	0.77124281536558	0.199973551245639
chr12	10464995	10465725	92	0.889244434712455	0.235110313017227
chrX	5854063	5855429	88	0.775182708025973	0.0917077850689012
chr10	25203039	25204339	96	0.775352070739506	0.130201847806479
chr11	47364352	47365523	130	0.580989857628806	0.0701263326190657
chr15	73374871	73377037	119	0.677571545823612	0.118962390451703
chr12	30748829	30750047	136	0.542565156650963	0.0690683903799956
chr17	38257310	38258578	100	0.237241182911124	0.879153044092506
chr12	5965321	5966557	100	0.876827166112641	0.252317142176444
chr4	54415730	54416300	62	0.90020604168782	0.0978179657705563
chr5	9478926	9480380	90	0.791266326052952	0.141265667528132
chr6	2587830	2590763	103	0.0591116783284117	0.650417202178978
chr16	62531059	62533269	70	0.842843711372211	0.0758645400930137
chr14	36658507	36660393	114	0.711699499995758	0.136284413238384
chr6	117049576	117051134	98	0.709165262966412	0.0824395125665963
chr3	77715612	77717583	100	0.679214657906448	0.0885937649072352
chr14	105832883	105833741	92	0.891303275879588	0.235978374915369
chr13	44487811	44488734	135	0.225754315064504	0.734196634376124
chr4	37222634	37225577	89	0.762668419010418	0.100873485014389
chr6	102904765	102905716	71	0.87516782086184	0.136744372688171
chr12	72857845	72858999	118	0.192498936307521	0.765423669789594
chr16	64347410	64349490	118	0.287132813977567	0.842410327412644
chr3	15073199	15074042	94	0.199214567048456	0.840217108122143
chr16	87587072	87587698	100	0.760279025988067	0.133379876277058
chr5	19287291	19288037	118	0.172343559147905	0.746057441002963
chr4	27758537	27759789	97	0.803562181604951	0.150861714959612
chr3	14925291	14926418	83	0.805387308465837	0.128866659620124
chr6	121400149	121401463	102	0.742181314036795	0.145469350193935
chr13	33634752	33635759	84	0.834509034332686	0.141259537208891
chr10	108475093	108476165	105	0.710602336014127	0.105209734053804
chr1	102432310	102433746	78	0.791201229868072	0.0915621310633499
chr2	35529629	35531189	86	0.863334400731197	0.18583737039433
chr12	32559726	32560822	114	0.31381228118287	0.88449721651604
chr1	207125778	207127390	88	0.176804449765229	0.850872293164936
chr10	8544833	8545831	94	0.776924260863342	0.134291683745737
chr13	43770732	43771614	74	0.856704814468901	0.133809603901624
chr7	51957388	51958348	89	0.793736275677675	0.139109752909737
chr1	113543271	113544863	96	0.878948203262931	0.239972714338656
chr11	1429338	1430060	102	0.708155881598862	0.0975653148214542
chr13	40208146	40209422	96	0.182418859872149	0.821677599445137
chr1	164519795	164521069	124	0.542976031426695	0.055970063350143
chr18	10561541	10563110	86	0.736429007369103	0.0744680718925914
chr10	97755499	97757799	82	0.814920210427643	0.133724327455473
chr19	31076273	31078179	110	0.787686520296368	0.210010678996798
chr2	106961809	106963403	72	0.873105390136967	0.132339933364941
chr5	7919187	7920625	84	0.772086954472979	0.0844919275731448
chr15	19310526	19311531	84	0.760046376199587	0.0981187242340878
chr11	1035969	1037221	81	0.832460612776477	0.1326448284644
chr13	22278500	22279408	106	0.654734545042824	0.0722533899249433
chr12	78361161	78362195	86	0.870283100710127	0.198643441568176
chr14	35460594	35461500	84	0.743064074809471	0.0766522339631535
chr11	106870170	106871013	96	0.748798575326472	0.123084181129451
chr3	48183252	48185355	99	0.706273513231517	0.113360522872707
chr11	106613213	106614761	100	0.73870988161907	0.12422630346924
chr3	83071159	83072059	118	0.612060441960676	0.094296413894399
chr1	6834693	6836167	87	0.171915438341655	0.81836360310524
chr12	10523764	10524500	81	0.872552095644735	0.167458160340341
chr19	556319	557147	68	0.852837485738626	0.101410831465525
chr9	100273568	100274467	67	0.851100314182834	0.0928950476468112
chr7	53272544	53273677	100	0.659410409742076	0.0724617644498417
chr2	64300025	64301279	82	0.822099613765375	0.138735461858264
chr8	68175741	68177089	90	0.775655841772962	0.148586114052206
chr4	2250701	2251606	107	0.235063142553641	0.807339947850318
chr11	1759291	1759941	94	0.828623139901442	0.185102598887944
chr1	175177587	175180358	82	0.735235792617886	0.077053068792485
chr12	52445870	52447364	104	0.799357921625959	0.191792981168907
chr13	58017880	58018728	88	0.733360630497541	0.0868871943074419
chr13	10262760	10263591	79	0.863334369989299	0.172569637106868
chr6	110650790	110651933	85	0.823035408686723	0.15056151537232
chr18	34373124	34373827	108	0.653016864859579	0.0891491281032111
chr4	141170874	141172702	88	0.7180978032307	0.066543680561118
chr4	20521115	20522361	120	0.328382485035173	0.856591779195097
chr8	10362551	10363833	92	0.25029515027673	0.871637557795031
chr2	194769623	194770654	68	0.880988126490961	0.128010168282792
chr12	80950639	80951892	120	0.268863422609683	0.815068797631582
chr13	28301055	28302138	108	0.293504412817115	0.865373302648999
chr10	3023534	3024617	112	0.777122745553788	0.228530553425375
chr2	29187193	29188529	80	0.781847442800573	0.093805090698998
chr4	142636026	142637114	97	0.717689559054611	0.109437584844775
chr14	78145532	78146658	72	0.825635773420752	0.115831788853268
chr2	6783069	6783739	112	0.627631522726572	0.0806676637506824
chr1	172827595	172830212	106	0.27094598362482	0.848015866799762
chr4	3770028	3770850	80	0.818754533969091	0.137726466890014
chr1	126064741	126065968	98	0.783926730616825	0.16881202658778
chr14	35020645	35021663	104	0.732196127127635	0.159348014881107
chr16	72555881	72557533	88	0.741864470364692	0.104472358475552
chr10	7876332	7877240	80	0.806262656659578	0.108005641806054
chr12	72842949	72844002	112	0.288097637154637	0.83303158511844
chr10	1212619	1213438	84	0.815822793562531	0.172746804325139
chr5	22774956	22775991	96	0.724916540433643	0.114149309014417
chr13	30580821	30581819	101	0.26892314508439	0.846006854436573
chr8	62221891	62223307	97	0.209267629609169	0.821058204950472
chr9	89185591	89186252	78	0.178109905991795	0.861586821783192
chr5	1790160	1790950	105	0.581468260978299	0.0484476604232856
chr10	7851553	7852499	102	0.726278083343335	0.141422836435099
chr10	37452404	37453881	126	0.408514834023309	0.886993047452682
chr2	121697987	121699481	76	0.791922170593962	0.105101648826521
chr15	64545177	64546291	85	0.755741470426285	0.113862212023303
chr9	100757044	100757586	84	0.880482581969986	0.209532174025639
chr12	44303282	44304417	88	0.768751558863726	0.143100980240933
chr2	197609111	197610248	96	0.70932431890833	0.115180383908787
chr6	112709700	112710777	80	0.795517335867374	0.119305755496922
chr7	51555311	51556937	100	0.756904586196665	0.13870838923369
chr4	25280670	25281602	116	0.0654900179770273	0.577070793839371
chr4	11768114	11769744	94	0.187223382037538	0.811222270838481
chr1	207808272	207809916	72	0.824597703744304	0.121052536124739
chr10	105598815	105600119	75	0.815450457198448	0.120881074624092
chr7	59645864	59646962	85	0.787981864621678	0.130374030749942
chr12	4761233	4762279	86	0.748396527793287	0.120477598441034
chr15	75580977	75583275	89	0.810949042163465	0.156396654595249
chr10	85360045	85362263	85	0.813712317423593	0.169831085980855
chr9	38056949	38058553	100	0.095751602694972	0.687114268738514
chr15	88372143	88372908	86	0.900167373689909	0.260209331492837
chr15	84679969	84680622	81	0.787544286580508	0.115565265552693
chr14	88520009	88521119	102	0.725390496607923	0.140917068323822
chr11	1797916	1798934	104	0.748072932591271	0.18448114217904
chr14	33266019	33266948	86	0.736144461023146	0.111137794427014
chr4	123633252	123634472	82	0.748664802613344	0.108640602727392
chr7	79048920	79050870	94	0.837023808039065	0.240822810796785
chr7	50121442	50122074	78	0.883051898929371	0.205881481477512
chr4	69582294	69582825	111	0.75662747031337	0.190811406393091
chr4	2567479	2568060	100	0.652872245493293	0.0889311293377438
chr15	73287341	73288175	72	0.839231270238023	0.136023625110361
chr10	99992650	99993788	54	0.876062820601173	0.0835835633128786
chr13	49592849	49593896	108	0.623337686775539	0.0866527370505354
chr11	68512207	68513038	78	0.781890561927373	0.11185591636474
chrX	83253645	83254811	98	0.324040060367575	0.897029228816287
chr8	74104355	74106110	74	0.0897758472499242	0.785228552542327
chr9	83071909	83073943	93	0.688462192617727	0.101189422756218
chr15	20472082	20473344	56	0.884893466103707	0.118144695994818
chr15	88008765	88009591	98	0.807575625236382	0.219635445269945
chr3	51791425	51792379	70	0.833523612783962	0.128043037114793
chr8	96046167	96046912	72	0.843929387919285	0.139337070323419
chr10	94562907	94565496	88	0.753361623348539	0.115104301229918
chr16	88042219	88043081	88	0.761235652247878	0.119800624327814
chr9	103087139	103088026	116	0.605666520591266	0.0999190394254513
chr10	31665924	31666920	90	0.782239945973813	0.144958508783497
chr3	106092775	106093840	92	0.767679202624586	0.156105619893866
chr17	14736709	14738453	94	0.767211610556891	0.166810105369758
chr12	4754829	4755793	90	0.171864510375722	0.7814653598435
chr2	31012539	31014037	80	0.785498769629905	0.126593994423733
chr3	68161026	68162563	97	0.304141176724645	0.871208196243251
chr1	7642355	7643485	94	0.817919776767056	0.202267198463372
chr10	37808137	37808831	90	0.727464189763791	0.115812657836261
chr18	34786312	34787402	82	0.761419231310311	0.128855642980702
chr4	29186393	29187222	98	0.177645634197721	0.765208085489063
chr4	2248901	2250150	109	0.262584000252831	0.801451746682746
chr10	844356	845064	92	0.764544452824797	0.150532392753898
chr4	53498371	53499680	94	0.703788444733727	0.123474490492574
chr18	14383697	14385364	102	0.614652050367293	0.0772496458437283
chr1	75709781	75711042	98	0.68999616224363	0.107260789554444
chr5	40906939	40908012	84	0.768221222776218	0.157240658312707
chr15	27092608	27093407	82	0.224821943564547	0.867600325836644
chr16	89844348	89845851	106	0.229464124530418	0.790872496395834
chr8	68732656	68733738	72	0.794360012870439	0.0888163202434949
chr6	57778682	57779537	78	0.800022958355727	0.13508561566973
chr14	48818223	48819291	74	0.802846237317551	0.115538143609445
chr2	4852625	4854587	110	0.625535394536273	0.104419214412511
chr16	84310465	84311176	115	0.630908501539035	0.116263088136869
chr14	105448404	105449144	83	0.818088014185449	0.18590003220756
chr3	27159135	27160938	71	0.800826126359502	0.110034003301369
chr16	5131170	5132477	71	0.81432125443671	0.115583449610208
chr6	79287389	79288393	70	0.817642007855131	0.118426959060497
chr12	43152867	43154917	91	0.754647184115119	0.122432855675786
chr2	99225442	99226522	86	0.777267786314706	0.120139069453173
chr17	32697359	32699252	104	0.695358470793432	0.130635027519184
chr2	20602382	20603194	76	0.838207827515005	0.157723774392544
chr11	106680370	106680940	82	0.736705771161099	0.0983544479381712
chr13	50461741	50462742	82	0.80914256439041	0.154654986357609
chrX	10974556	10975589	80	0.85617507440449	0.192841158333536
chr13	46866620	46867454	90	0.803474085637609	0.191546872183389
chr4	62778589	62781279	84	0.698681008542179	0.0840388542306523
chr6	130020153	130021054	86	0.778227485462576	0.149240469397822
chr7	7079135	7080256	61	0.788267932867275	0.0600326204269891
chr12	21549767	21551109	94	0.776713403538644	0.184958434161387
chr13	47190587	47191936	106	0.63321129415043	0.109465276138187
chr3	50317480	50319610	93	0.712825236477594	0.11744909666581
chr6	126294745	126295586	80	0.801897966460805	0.15639188772162
chr6	130032236	130032731	76	0.875465987459772	0.186255372810904
chr11	8787570	8788366	75	0.87892875569769	0.219868909579702
chr9	17153062	17153850	58	0.8523142696909	0.104078698076007
chr20	25228751	25229287	88	0.707354944196578	0.0365173832836958
chr12	50259003	50260912	76	0.728550407277974	0.0783083748478602
chr13	73455896	73457338	86	0.8813939316654	0.251654266861079
chr4	125124212	125126345	90	0.677560015017906	0.0920193103855852
chr3	143241357	143242273	66	0.831501098306307	0.133533380428695
chr1	3122945	3124026	108	0.634703464852573	0.10668689281925
chr8	127633579	127634075	104	0.801377707215862	0.252710122236056
chr13	70598506	70599269	90	0.74514044429376	0.132908519510688
chr2	195334840	195335667	82	0.761417619218899	0.141815302396744
chr18	33891815	33892675	98	0.61351151180755	0.0741728849861084
chr16	87268325	87269039	99	0.820207686425743	0.245442776420705
chr3	74302801	74304043	62	0.794189252638207	0.0699766243296563
chr12	66462211	66463846	87	0.699497971069628	0.103788802107931
chr2	193214773	193215659	79	0.239255363258816	0.883688629640209
chr4	142506551	142507472	79	0.883284972418143	0.248352317697878
chr4	2426797	2427529	87	0.789101532561329	0.173525304417852
chr17	29221330	29222878	74	0.779244404530548	0.118895665518301
chr7	7064482	7065952	70	0.795558590737484	0.122575695085245
chr8	12940540	12941129	60	0.868050172157008	0.126872722341778
chr16	46369637	46370387	86	0.611883849206308	0.0378511446338258
chr16	73324868	73325691	77	0.798476901926838	0.147567835643246
chr14	44919921	44920799	78	0.766531475834154	0.106826442268733
chr17	11319130	11320635	94	0.346733251573038	0.90019078270895
chr5	5721750	5723056	62	0.801886923606302	0.0793166305773373
chr8	65131124	65132475	106	0.344159300962944	0.868620912987192
chr8	105288591	105289613	88	0.805564979032577	0.18950187552949
chr9	101652578	101653524	106	0.66683300452787	0.137255067146013
chr7	7829301	7830620	82	0.800576696398023	0.171106062267168
chr2	462811	463982	74	0.800759509285591	0.116682470599352
chr1	110997225	110998035	68	0.776822492781102	0.0919614274107455
chr8	124128216	124130033	93	0.259925353458323	0.841355854034105
chr14	29173010	29174110	54	0.837071271626154	0.079079856706639
chr10	110291774	110292643	96	0.67157691874518	0.125890560022599
chr8	100936253	100937449	76	0.811122397311428	0.152693136929612
chr1	160227603	160231172	84	0.720753561787491	0.107685356349074
LNAT02002487	811	1369	66	0.860319346629829	0.133701831376144
chr3	21396569	21397769	108	0.0979513522596149	0.611607109344044
chr3	82948843	82951668	108	0.290646122154429	0.827884306721866
chr2	143797768	143798939	56	0.794522706195283	0.0515445273602445
chr16	87001508	87002193	84	0.734195452448727	0.109669050951615
chr2	14122052	14123275	98	0.206041131952628	0.77033993450754
chr10	108434407	108435129	95	0.790553311494151	0.209383187545245
chr10	109985970	109986887	92	0.817729785493455	0.238912959426544
