Review Found	Author	Title	Year	Global Region	Country 	Location	PCR N Tested	PCR N Positive	% PCR  Positive	Microscopy N Tested	Microscopy N Positive	% Microscopy  Positive	Historical Transmission	Current Transmission	Setting_20	Setting_15	Setting_10	Setting_5	PCR_Method	Microscopy_Fields	Sampling_Season	Notes
Whittaker et al.	Atelu	Carriage of sub-microscopic sexual and asexual Plasmodium falciparum stages in the dry season at Navrongo, Ghana	2016	West Africa	Ghana	Navrongo	209	29	13.88	209	10	4.78	0.6532	0.4934	High_High	High_High	High_High	High_High	RT-PCR	200	Dry	
Whittaker et al.	Rovira-Vallbona	Predominance of asymptomatic and sub-microscopic infections characterizes the Plasmodium gametocyte reservoir in the Peruvian Amazon	2017	South America	Peru	Loreto Department	7265	235	3.23	7265	5	0.07	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Kangoye	Malaria hotspots defined by clinical malaria, asymptomatic carriage, PCR and vector numbers in a low transmission area on the Kenyan Coast	2016	East Africa	Kenya	Kilif County	779	48	6.16	779	16	2.05	0.3424	0.0863	High_Low	High_Low	High_Low	High_High	qPCR	400	NA	
Whittaker et al.	Kangoye	Malaria hotspots defined by clinical malaria, asymptomatic carriage, PCR and vector numbers in a low transmission area on the Kenyan Coast	2016	East Africa	Kenya	Kilif County	797	26	3.26	797	2	0.25	0.3424	0.1372	High_Low	High_Low	High_High	High_High	qPCR	400	NA	
Whittaker et al.	Parr	Estimation of Plasmodium falciparum Transmission Intensity in Lilongwe, Malawi, by Microscopy, Rapid Diagnostic Testing, and Nucleic Acid Detection.	2016	East Africa	Malawi	Central Region	792	79	9.97	792	45	5.68	0.3811	0.2023	High_High	High_High	High_High	High_High	qPCR	NA	NA	
Whittaker et al.	Zhao	Comparison of methods for detecting asymptomatic malaria infections in the China–Myanmar border area	2017	Asia&Oceania	Myanmar	Kachin State	1005	1	0.10	1005	0	0.00	NA	NA	NA	NA	NA	NA	Nested	100	NA	
Whittaker et al.	Zhao	Comparison of methods for detecting asymptomatic malaria infections in the China–Myanmar border area	2017	Asia&Oceania	Myanmar	Kachin State	1005	11	1.09	1005	0	0.00	NA	NA	NA	NA	NA	NA	RT-PCR	100	NA	
Whittaker et al.	Tadesse	The shape of the iceberg: quantification of submicroscopic Plasmodium falciparum and Plasmodium vivax parasitaemia and gametocytaemia in five low endemic settings in Ethiopia.	2017	East Africa	Ethiopia	Amhara	551	43	7.80	551	3	0.54	0.0258	0.0027	Low_Low	Low_Low	Low_Low	Low_Low	qPCR	100	Dry	
Whittaker et al.	Tadesse	The shape of the iceberg: quantification of submicroscopic Plasmodium falciparum and Plasmodium vivax parasitaemia and gametocytaemia in five low endemic settings in Ethiopia.	2017	East Africa	Ethiopia	Amhara	294	38	12.93	335	3	0.90	0.0258	0.0027	Low_Low	Low_Low	Low_Low	Low_Low	qPCR	100	Wet	
Whittaker et al.	Chourasia	Additional burden of asymptomatic and sub-patent malaria infections during low transmission season in forested tribal villages in Chhattisgarh, India	2017	Asia&Oceania	India	Chhattisgarh State	437	80	18.31	437	47	10.76	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Mokala	85	3	3.53	250	4	1.60	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Machame Aleni	87	8	9.20	251	4	1.59	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Ikuini	88	34	38.64	250	4	1.60	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Kileo	89	13	14.61	250	16	6.40	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Bwambo	76	7	9.21	250	7	2.80	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Mpinji	87	6	6.90	250	7	2.80	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Lower Goha	91	21	23.08	249	30	12.05	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Kadando	87	44	50.57	249	61	24.50	0.047	0.0373	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Kwadoe	84	8	9.52	250	14	5.60	0.4244	0.448	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Funta	88	49	55.68	249	45	18.07	0.4244	0.448	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Tamota	81	52	64.20	246	2	0.81	0.4244	0.448	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Mgila	83	61	73.49	243	74	30.45	0.4244	0.448	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Manjurano	Association of sub-microscopic malaria parasite carriage with transmission intensity in north-eastern Tanzania.	2011	East Africa	Tanzania	Mgome	95	83	87.37	247	122	49.39	0.4244	0.448	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Rosas-Aguirre	Assessing malaria transmission in a low endemicity area of north-western Peru	2013	South America	Peru	Bellavista District	2667	1	0.04	2667	0	0.00	NA	NA	NA	NA	NA	NA	Nested	NA	Wet	
Whittaker et al.	Tran	An intensive longitudinal cohort study of Malian children and adults reveals no evidence of acquired immunity to Plasmodium falciparum infection.	2013	West Africa	Mali	Kalifabougou 	547	320	58.50	547	159	29.07	0.4703	0.2656	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Koepfli	Blood-Stage Parasitaemia and Age Determine Plasmodium falciparum and P. vivax Gametocytaemia in Papua New Guinea	2015	Asia&Oceania	Papua New Guinea		2083	385	18.48	2083	117	5.62	NA	NA	NA	NA	NA	NA	qPCR	200	Wet	
Whittaker et al.	Morris	Characterising temporal trends in asymptomatic Plasmodium infections and transporter polymorphisms during transition from high to low transmission in Zanzibar, 2005-2013.	2015	East Africa	Zanzibar	North A and Micheweni	2423	80	3.30	2423	0	0.00	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Baum	Common asymptomatic and submicroscopic malaria infections in Western Thailand revealed in longitudinal molecular and serological studies: a challenge to malaria elimination	2016	Asia&Oceania	Thailand	Tak Province	1347	20	1.48	1347	0	0.00	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Laban	Comparison of a PfHRP2-based rapid diagnostic test and PCR for malaria in a low prevalence setting in rural southern Zambia: implications for elimination	2015	East Africa	Zambia	Choma District	638	18	2.82	676	1	0.15	0.2878	0.0554	High_Low	High_Low	High_Low	High_High	Nested	NA	NA	
Whittaker et al.	Laban	Comparison of a PfHRP2-based rapid diagnostic test and PCR for malaria in a low prevalence setting in rural southern Zambia: implications for elimination	2015	East Africa	Zambia	Choma District	871	16	1.84	871	2	0.23	0.2878	0.0556	High_Low	High_Low	High_Low	High_High	Nested	NA	NA	
Whittaker et al.	Laban	Comparison of a PfHRP2-based rapid diagnostic test and PCR for malaria in a low prevalence setting in rural southern Zambia: implications for elimination	2015	East Africa	Zambia	Choma District	740	12	1.62	740	0	0.00	0.2878	0.0461	High_Low	High_Low	High_Low	High_Low	Nested	NA	NA	
Whittaker et al.	Laban	Comparison of a PfHRP2-based rapid diagnostic test and PCR for malaria in a low prevalence setting in rural southern Zambia: implications for elimination	2015	East Africa	Zambia	Choma District	688	3	0.44	688	1	0.15	0.2878	0.047	High_Low	High_Low	High_Low	High_Low	Nested	NA	NA	
Whittaker et al.	Mwingira	Comparison of detection methods to estimate asexual Plasmodium falciparum parasite prevalence and gametocyte carriage in a community survey in Tanzania	2014	East Africa	Tanzania	Kilombero and Ulanga	226	86	38.05	226	13	5.75	0.4341	0.0912	High_Low	High_Low	High_Low	High_High	qPCR	NA	Dry	
Whittaker et al.	Mwingira	Comparison of detection methods to estimate asexual Plasmodium falciparum parasite prevalence and gametocyte carriage in a community survey in Tanzania	2014	East Africa	Tanzania	Kilombero and Ulanga	226	60	26.55	226	13	5.75	0.4341	0.0912	High_Low	High_Low	High_Low	High_High	Nested	NA	Dry	
Whittaker et al.	Wang	Comparison of Microscopy, Nested-PCR, and Real-Time-PCR Assays Using High-Throughput Screening of Pooled Samples for Diagnosis of Malaria in Asymptomatic Carriers from Areas of Endemicity in Myanmar	2014	Asia&Oceania	Myanmar	Kayin State, Bago and Tanintharyi	1552	42	2.71	1552	5	0.32	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Wang	Comparison of Microscopy, Nested-PCR, and Real-Time-PCR Assays Using High-Throughput Screening of Pooled Samples for Diagnosis of Malaria in Asymptomatic Carriers from Areas of Endemicity in Myanmar	2014	Asia&Oceania	Myanmar	Kayin State, Bago and Tanintharyi	1552	15	0.97	1552	5	0.32	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Wang	Comparison of Microscopy, Nested-PCR, and Real-Time-PCR Assays Using High-Throughput Screening of Pooled Samples for Diagnosis of Malaria in Asymptomatic Carriers from Areas of Endemicity in Myanmar	2014	Asia&Oceania	Myanmar	Kayin State, Bago and Tanintharyi	1552	43	2.77	1552	5	0.32	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Talundzic	Field evaluation of the photo-induced electron transfer fluorogenic primers (PET) real-time PCR for the detection of Plasmodium falciparum in Tanzania	2014	East Africa 	Tanzania	Iringa Region	303	27	8.91	303	11	3.63	0.1518	0.0479	Low_Low	High_Low	High_Low	High_Low	Nested	100	NA	
Whittaker et al.	Kaisar	Epidemiology of Plasmodium infections in Flores Island, Indonesia using real-time PCR	2013	Asia&Oceania	Indonesia	Flores Island	1509	219	14.51	1509	37	2.45	NA	NA	NA	NA	NA	NA	qPCR	NA	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	792	546	68.94	792	309	39.02	0.5407	0.5407	High_High	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	792	464	58.59	792	309	39.02	0.5407	0.5407	High_High	High_High	High_High	High_High	Nested	100	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	889	576	64.79	889	239	26.88	0.5407	0.5407	High_High	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	889	400	44.99	889	239	26.88	0.5407	0.5407	High_High	High_High	High_High	High_High	Nested	100	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	808	141	17.45	808	43	5.32	0.5407	0.5407	High_High	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Farnert	Epidemiology of malaria in a village in the Rufiji River Delta, Tanzania: declining transmission over 25 years revealed by different parasitological metrics	2014	East Africa	Tanzania	Rufiji River Delta	808	132	16.34	808	43	5.32	0.5407	0.5407	High_High	High_High	High_High	High_High	Nested	100	Dry	
Whittaker et al.	Thanh	Epidemiology of forest malaria in Central Vietnam: the hidden parasite reservoir	2015	Asia&Oceania	Vietnam	Quang Nam Province	75	4	5.33	350	10	2.86	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Thanh	Epidemiology of forest malaria in Central Vietnam: the hidden parasite reservoir	2015	Asia&Oceania	Vietnam	Quang Nam Province	55	6	10.91	256	8	3.13	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Thanh	Epidemiology of forest malaria in Central Vietnam: the hidden parasite reservoir	2015	Asia&Oceania	Vietnam	Quang Nam Province	133	17	12.78	532	51	9.59	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Thanh	Epidemiology of forest malaria in Central Vietnam: the hidden parasite reservoir	2015	Asia&Oceania	Vietnam	Quang Nam Province	64	15	23.44	312	24	7.69	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Oriero	Diagnostic performance of a novel loop-mediated isothermal amplification (LAMP) assay targeting the apicoplast genome for malaria diagnosis in a field setting in sub-Saharan Africa.	2015	West Africa	The Gambia	Basse	341	131	38.42	341	104	30.50	0.364	0.0241	High_Low	High_Low	High_Low	High_Low	Nested	NA	NA	
Whittaker et al.	Takem	Detecting Foci of Malaria Transmission with School Surveys: A Pilot Study in the Gambia	2013	West Africa	The Gambia	Upper River Region	3214	278	8.65	424	31	7.31	0.364	0.0246	High_Low	High_Low	High_Low	High_Low	Nested	200	Dry	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2012	2013	West Africa	Burkina Faso	Kossi District	1561	1436	91.99	1561	1232	78.92	0.7872	0.7811	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2012	2013	West Africa	Burkina Faso	Kossi District	402	266	66.17	402	235	58.46	0.7872	0.7811	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2013	2013	West Africa	Burkina Faso	Kossi District	362	143	39.50	362	109	30.11	0.7872	0.7843	High_High	High_High	High_High	High_High	Nested	NA	Dry	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2014	2013	West Africa	Burkina Faso	Kossi District	256	176	68.75	256	143	55.86	0.7872	0.7843	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2015	2013	West Africa	Burkina Faso	Kossi District	267	105	39.33	267	79	29.59	0.7872	0.7311	High_High	High_High	High_High	High_High	Nested	NA	Dry	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2016	2013	West Africa	Burkina Faso	Kossi District	219	161	73.52	219	108	49.32	0.7872	0.7311	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Geiger	Declining malaria parasite prevalence and trends of asymptomatic parasitaemia in a seasonal transmission setting in north-western Burkina Faso between 2000 and 2009–2017	2013	West Africa	Burkina Faso	Kossi District	261	90	34.48	261	85	32.57	0.7872	0.6661	High_High	High_High	High_High	High_High	Nested	NA	Dry	
Whittaker et al.	Ganguly	High prevalence of asymptomatic malaria in a tribal population in eastern India.	2013	Asia&Oceania	India	West Bengal State	224	27	12.05	224	25	11.16	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Ganguly	High prevalence of asymptomatic malaria in a tribal population in eastern India.	2013	Asia&Oceania	India	West Bengal State	275	24	8.73	275	16	5.82	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Ganguly	High prevalence of asymptomatic malaria in a tribal population in eastern India.	2013	Asia&Oceania	India	West Bengal State	225	25	11.11	225	23	10.22	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Ganguly	High prevalence of asymptomatic malaria in a tribal population in eastern India.	2013	Asia&Oceania	India	West Bengal State	239	2	0.84	239	2	0.84	NA	NA	NA	NA	NA	NA	Nested	NA	Dry	
Whittaker et al.	Koukouikila-Koussounda	Genetic polymorphism of merozoite surface protein 2 and prevalence of K76T pfcrt mutation in Plasmodium falciparum field isolates from Congolese children with asymptomatic infections	2012	West Africa	Republic of Congo	Makelekele	313	51	16.29	313	27	8.63	0.3676	0.137	High_Low	High_Low	High_High	High_High	Nested	NA	NA	
Whittaker et al.	Cook	High heterogeneity of malaria transmission and a large sub-patent and diverse reservoir of infection in Wusab As Safil district, Republic of Yemen.	2016	Asia&Oceania	Republic of Yemen	Wusab As Safil District	2181	430	19.72	2220	237	10.68	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Rosas-Aguirre	Hotspots of Malaria Transmission in the Peruvian Amazon: Rapid Assessment through a Parasitological and Serological Survey.	2015	South America	Peru	San Juan	651	35	5.38	651	10	1.54	NA	NA	NA	NA	NA	NA	Nested	100	Dry	
Whittaker et al.	Proietti	Influence of infection on malaria-specific antibody dynamics in a cohort exposed to intense malaria transmission in northern Uganda.	2013	East Africa	Uganda	Apac	490	281	57.35	509	194	38.11	0.7456	0.5913	High_High	High_High	High_High	High_High	Nested	100	NA	
Whittaker et al.	Ngane	Molecular epidemiology of drug-resistant Plasmodium falciparum in Benguela province, Angola	2015	West Africa	Angola	Benguela Province	386	80	20.73	386	61	15.80	0.285	0.0626	High_Low	High_Low	High_Low	High_High	Nested	NA	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Akala (Nyanza)	201	130	64.68	201	117	58.21	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Amkura (Western)	201	28	13.93	201	4	1.99	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Bomet (Rift Valley)	250	7	2.80	250	1	0.40	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Boro (Nyanza)	234	91	38.89	234	34	14.53	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Busia (Western)	213	116	54.46	216	84	38.89	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Chamasire  (Western)	200	41	20.50	202	8	3.96	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Chuliambo (Nyanza)	189	65	34.39	190	45	23.68	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Chwele (Western)	209	85	40.67	208	29	13.94	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Eldoret (Western)	322	15	4.66	357	8	2.24	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Homa Bay (Nyanza)	300	16	5.33	300	14	4.67	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kabula  (Western)	222	109	49.10	221	43	19.46	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kaimosi  (Western)	161	35	21.74	205	7	3.41	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kamajo (Nyanza)	181	46	25.41	179	36	20.11	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kamkuywa (Western)	401	21	5.24	401	10	2.49	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kanyawegi (Nyanza)	217	82	37.79	215	67	31.16	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kapsabet (Rift Valley)	369	32	8.67	460	14	3.04	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kendu Bay* (Nyanza)	244	21	8.61	244	21	8.61	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	Originally had prevalence ratio >1 (27 LM +ves). Have scaled down to produce prevalence ratio of 1.
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kericho (Rift Valley)	197	8	4.06	188	7	3.72	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Keroka (Nyanza)	250	9	3.60	250	1	0.40	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
