Gene	Beta_Untreated_day14	Beta_5d-release_etoposide	Depmap
RFK	-0.754611812	-0.552454828	-0.502989407
PLA2G2D	-0.077997914	0.123410218	-0.051714278
GPD1L	-0.308718046	-0.10773499	0.024616884
LIPT1	-0.602344614	-0.40147778	-0.270971507
MECR	-0.345182798	-0.14459315	-0.246159988
NDUFB7	-0.539678327	-0.339563885	-0.536883596
NDUFB11	-0.600739407	-0.400925736	-0.448545246
SLC5A10	-0.535785383	-0.336619649	-0.012168317
MTHFD1	-0.274591588	-0.075778701	-0.245785052
ATP5ME	-0.253964041	-0.059391477	-0.175458666
NUDT17	-0.639289664	-0.448656338	-0.269354711
ACADSB	-0.116462224	0.074131061	-0.183077602
COX18	-0.553682814	-0.363386721	-0.441210672
CERKL	-0.180478402	0.009557444	0.038062482
COX4I1	-0.636698581	-0.447000205	-0.423575196
SCO2	-0.402325655	-0.213230663	-0.215913171
CLCA1	-0.4274402	-0.238653012	0.136975714
NPR1	-0.831762884	-0.643556298	-0.0363149
FOXRED1	-0.348709198	-0.161706525	-0.369425963
OXA1L	-0.865775587	-0.679566574	-0.386732699
SLCO1B3	-0.298063008	-0.112094725	0.022705027
GMPPB	-1.503839226	-1.318225248	-0.904307435
NDUFV1	-0.308250387	-0.123091731	-0.282905555
CYCS	-1.10376339	-0.918644236	-1.007472068
CACNA1G	-0.363358296	-0.178522644	-0.317398539
MOGS	-0.676348469	-0.491829036	-0.379798384
EXTL1	-0.849748791	-0.666091031	-0.329071158
PDSS1	0.025948747	0.209507902	-0.224539404
SEPHS1	-0.664290454	-0.480802304	-0.454204673
CYP1A1	-0.405068411	-0.221652877	0.055180132
DSE	-0.150927418	0.032076607	0.099688742
SEPHS2	-0.912983853	-0.730892542	-0.916193737
MCOLN2	-0.581021898	-0.399835802	0.00912652
VKORC1	-0.1862799	-0.005564182	0.014519109
OCA2	-0.321306917	-0.140958151	-0.113465855
SLC16A14	-0.44689228	-0.266892203	-0.059424957
SLCO2A1	-0.303384207	-0.123411634	-0.127472671
PUDP	-0.049051095	0.130889711	
GXYLT1	-0.61016842	-0.430410565	0.055209598
ADIPOR1	-0.315606535	-0.136194999	-0.039666619
HSD11B1L	-0.434455083	-0.255412512	-0.406802819
AADACL3	-0.363889152	-0.186222955	-0.022873582
SLC31A1	-0.256302335	-0.079784561	-0.299949866
COQ4	-0.517218062	-0.340823678	-0.74878257
INPP5A	-0.215300028	-0.039825044	-0.108244715
PDE4B	-0.298758176	-0.123933953	0.01790478
STAR	-0.09614055	0.078226098	-0.028075307
GK5	-0.448838752	-0.275356883	-0.10179762
PLCH1	-0.212026416	-0.039161176	0.133292518
COX17	-0.675261478	-0.503153022	-0.878123163
ECHDC2	-0.285436218	-0.114362353	-0.142262858
PGM2	-0.342465321	-0.172082127	-0.043417459
GPX1	-0.245710494	-0.075753222	0.111716734
ALG12	-0.442380004	-0.273063775	-0.407994274
IMPDH2	-0.396991816	-0.227923535	-0.63953261
SLC6A12	-0.229885929	-0.061686	-0.179114622
THEM5	-0.472032104	-0.305082347	-0.241094997
ZC3H12A	-0.330470503	-0.163589137	-0.115034174
HSD17B10	-0.654077796	-0.487837331	-0.775151562
SI	0.048537934	0.214589541	0.022220551
SULT4A1	-0.115188169	0.050690409	-0.091783598
KCNK6	-0.158978734	0.005866391	0.004563244
ACAD9	-0.500394982	-0.335586335	-0.300361952
ELOVL1	-0.395070623	-0.231292421	-0.474620537
ALG5	-0.431927197	-0.268279391	-0.293159811
NDUFA2	-0.240806396	-0.077270636	-0.616870417
LIPC	-0.282655544	-0.119660564	0.121999605
CHPF2	-0.053984264	0.108660726	-0.053208066
PDHB	-0.345245995	-0.183137169	-0.015640881
AMD1	-0.654545455	-0.49263587	-0.360143171
CYP1B1	-0.281732866	-0.120270643	0.108302847
MLXIP	-0.481802383	-0.320553743	-0.104599548
SLC25A16	-0.077135905	0.08331906	-0.021134166
CTPS1	-1.17742598	-1.018082991	-0.802470789
FDFT1	-0.269422062	-0.110556079	-0.118534143
COX7C	-0.62964578	-0.471219381	-0.90090753
ATP5PB	-0.3592884	-0.201283857	
NDUFS2	-0.571656081	-0.41437297	-0.526693541
NDUFS1	-0.205453913	-0.048275569	-0.546625447
ABCD3	-0.29136411	-0.13436476	-0.139077915
DMAC2	-0.361411824	-0.204525348	
GGT5	0.057510665	0.214122426	-0.182754446
FLVCR1	-0.420526432	-0.26498128	0.007172702
ATP5MG	-0.593041995	-0.437799466	
DHRS2	-0.126286852	0.028731784	-0.057750577
GALNT13	-0.329990204	-0.175026364	0.153026879
COASY	-0.878554049	-0.72469266	-0.831723541
SLC12A9	-0.206010048	-0.052626811	-0.076542374
SLC16A11	-0.474635826	-0.321459662	-0.084412093
KCNK13	-0.017534679	0.134929544	0.032954616
CPT1C	-0.216740923	-0.064640145	0.02574003
SLC46A1	-0.085925364	0.06573291	
PHF2	-0.376237874	-0.224639579	-0.209397079
SLC2A2	-0.126142762	0.025418103	-0.038410701
PIGC	-0.515600215	-0.36434926	0.036360606
UQCRB	-0.461478181	-0.310758495	-0.565719379
MBOAT2	-0.417050589	-0.267175302	0.070233501
NOS2	0.140234461	0.28980912	-0.091941165
PTGFRN	-0.140360856	0.00847204	-0.024239041
DLD	-0.514753373	-0.366019548	-0.281600876
PTGES2	-0.463285619	-0.31486344	-0.238775932
CLCA2	-0.394286978	-0.246537337	-0.011416858
NPC2	-0.171517047	-0.025738005	0.021355603
PIGT	-0.517382374	-0.371653231	-0.224731921
UGGT2	-0.079635984	0.066023087	-0.119772215
SLC35C1	-0.412424558	-0.267047908	-0.268092804
PFAS	-0.575068727	-0.429702816	-0.444682218
ISYNA1	-0.560546023	-0.415533678	-0.355005228
HS2ST1	-0.502518406	-0.357554868	-0.123091246
AMPD2	-0.328271242	-0.184184638	0.019923545
CYP2A13	-0.210218978	-0.066221257	-0.553266159
NUDT12	-0.227484438	-0.083813069	-0.165473959
MTRR	-0.328144848	-0.184764992	-0.007816208
CYP24A1	-0.498385313	-0.355530706	0.065700015
HS3ST2	-0.219142415	-0.076460971	0.027545674
AMACR	-0.106588302	0.035989044	0.078036887
KCNMB4	-0.296192372	-0.154402554	-0.086375552
B4GALT5	-0.091121433	0.050606895	-0.129812653
GPD1	-0.478490852	-0.337030143	-0.037508093
BCO1	-0.264732834	-0.123407387	
AIFM1	-0.982715581	-0.841527889	-0.845487742
PRPSAP1	-0.079594274	0.061552943	-0.013594944
DHCR24	-0.244572945	-0.104133963	0.103689586
CYP27B1	-0.508357822	-0.368001246	-0.336507753
LPIN1	-0.276120959	-0.135851033	0.219958546
SLC7A7	-0.395765791	-0.256091951	0.107164444
MGAT1	-0.383720416	-0.244088525	-0.471358721
SLC27A5	-0.37963788	-0.240592244	-0.230522868
FECH	-0.303599077	-0.165457595	-0.424814783
ATP5F1E	-0.145998041	-0.008540692	
LIAS	-0.618485164	-0.481311884	-0.37454963
SCN10A	-0.099613865	0.036321686	-0.096722939
PLPP3	-0.430018643	-0.295145549	
SLC25A11	-0.129617341	0.005179591	-0.093722779
DDHD2	0.012907385	0.147551542	0.00442658
SCD	-0.269978197	-0.135505651	-0.657561212
ACAT2	-0.374746421	-0.240309145	0.203412724
CLIC1	-0.383151642	-0.249198474	-0.066171535
PIGA	-0.152014409	-0.018796402	0.194972126
PIGW	-0.275792334	-0.143248427	-0.252102016
ATP8B1	-0.201131229	-0.069038098	0.12032378
DHRS13	-0.020233197	0.111214285	-0.118272425
NDUFS7	-0.247530572	-0.116252044	-0.338090438
GLO1	-0.325768635	-0.19450362	-0.012867329
ACBD4	-0.748911429	-0.617709299	-0.052692736
IL4I1	-0.473270768	-0.342140092	-0.057131542
PYROXD1	-0.608373622	-0.478311027	-0.931788833
NDUFA3	-0.129187601	0.000708995	-0.27663194
PIGG	0.031979019	0.161564975	0.100910125
PDE12	-0.209094069	-0.079791639	-0.440701769
CYC1	-0.541940784	-0.412787612	-0.868627454
NAGS	-0.156071666	-0.027374321	0.027586717
PIGL	-0.40199703	-0.273431805	-0.222575358
SLC25A53	-0.061047177	0.067280049	0.184434434
TRPM5	-0.135115493	-0.00690013	-0.072542356
CYBA	-0.27189939	-0.143743851	-0.00129217
AMY1C	-0.68805258	-0.560027744	
ANKH	-0.1025677	0.024950988	-0.113278848
ABCC5	-0.169975037	-0.042695675	0.122613556
LCTL	-0.32434038	-0.197589406	-0.056906018
PNP	-0.325692799	-0.19907568	0.179264791
SLC38A7	-0.288178974	-0.16169237	-0.077137314
OGDH	-0.662116472	-0.535907653	-0.542486498
PANK3	-0.260119443	-0.134163759	-0.26430996
LDHAL6B	-0.14910734	-0.023181616	0.066776765
PYROXD2	-0.257755869	-0.131927272	-0.037717074
NDUFB6	-0.32167346	-0.195933273	-0.694644901
KCND1	-0.483331753	-0.357908743	-0.073284129
VKORC1L1	-0.332909912	-0.207497894	-0.307282286
C19orf80	-0.391531583	-0.266269383	
ST3GAL4	-0.299023604	-0.174502629	0.102809532
SLC25A3	-0.369892881	-0.245433249	-0.751329103
ABCG4	-0.186760198	-0.062567855	0.00658155
BCAT1	-0.136531109	-0.012865606	0.084521096
PLA2G2E	-0.239630929	-0.117037645	-0.025476749
LIPH	-0.230985559	-0.108465388	0.046146257
BCS1L	-0.543697665	-0.421308911	-0.583169733
APRT	-0.760779853	-0.638955928	-0.25063036
CLIC2	0.000893709	0.122669913	0.163809968
FDXR	-0.356621481	-0.235326591	-0.861681543
GLB1L2	0.144481309	0.265773959	0.211680236
PRODH	-0.498865611	-0.377697409	-0.469515229
ELOVL3	-0.170948273	-0.05022471	-0.203467943
SERPINA1	-0.215236831	-0.096150552	-0.000268
SLC39A12	-0.178165387	-0.059115455	0.152601363
COMTD1	-0.459531709	-0.340483959	-0.144056133
SLC8A1	-0.394704079	-0.275696602	0.149522216
ELOVL7	-0.193724524	-0.07475388	0.193175891
GSTM3	-0.471387493	-0.352614779	-0.303837848
DHODH	-0.735728505	-0.617242185	-0.611452028
ARNT2	-0.16414826	-0.045680961	0.104280672
PCK1	-0.250311246	-0.131872067	-0.124672293
C1QTNF3	-0.192106677	-0.073724813	0.096702773
GFER	-1.216178469	-1.098044489	-0.847285873
NANP	-0.263620564	-0.145555689	-0.026614165
CERS1	-0.364900307	-0.246848747	-0.012299906
AK4	-0.628154327	-0.510230514	-0.259468685
LALBA	-0.021854836	0.096062792	0.020997802
NUDT15	-0.191537902	-0.073690841	-0.102258952
AASS	-0.189844219	-0.072065849	0.137609417
NDUFC1	-0.349088381	-0.231646295	-0.293413733
PPA1	-0.846980756	-0.729646904	-1.156012746
PON2	-0.27235441	-0.155138613	-0.058983845
PIGB	-0.422169558	-0.305209741	-0.362015891
DGKH	-0.077268619	0.039631121	-0.01657641
PCYT1A	-1.077713527	-0.96092517	-0.499049644
RIOX2	-0.663696401	-0.547330724	
DGKQ	-0.137706576	-0.021409412	0.03581713
GLUD1	-0.277688248	-0.161395115	-0.123083394
CRYM	-0.30928682	-0.193357067	-0.055011317
SRM	-0.561228552	-0.445315762	-0.159185556
NDST3	-0.15708282	-0.041264606	0.026753815
NPC1L1	-0.227888899	-0.112094725	-0.264658906
SLC17A9	-0.220962492	-0.105195586	-0.103960134
IMPA1	-0.216614529	-0.100889641	-0.095754421
NAA35	-0.589692546	-0.474333477	-0.838401935
MTHFR	-0.542812905	-0.427593724	0.165914786
SDS	-0.193168389	-0.077950075	0.052867561
HEPH	0.0287547	0.143871246	0.056045079
SLC18A3	-0.210269536	-0.095188014	-0.193454456
PLCXD2	-0.297595349	-0.182585125	-0.246599508
DHRS11	-0.190097008	-0.075160128	-0.063157732
ABHD1	-0.32655228	-0.211730234	-0.003798561
GLYATL2	-0.3230006	-0.208389658	0.369780074
COQ7	-0.343059374	-0.228518044	-0.425112435
SLC13A2	-0.137049325	-0.022538979	-0.166902577
ALAD	-0.204771384	-0.090354087	-0.121267865
ACSM4	-0.146781685	-0.032522489	0.102538942
CYP4F22	-0.448914589	-0.334708726	-0.104630931
GOT1L1	0.016596834	0.130790627	0.121711627
SLC25A23	-0.248946188	-0.134976255	0.051651791
UPB1	-0.345928524	-0.232580524	0.046492024
CNP	-0.14690808	-0.033629408	-0.35417782
PLA2G2C	-0.360893608	-0.247655581	
MFNG	-0.218181818	-0.105155953	-0.059714135
SLC34A2	-0.175321515	-0.062392334	0.215523331
PIK3R2	-0.569722249	-0.457305033	-0.244316084
PLD1	0.056074825	0.168387677	-0.120539579
SLC19A2	-0.186987708	-0.074925156	0.032320975
PON3	-0.188352766	-0.076302435	-0.09215715
AGPAT1	-0.629506746	-0.51760526	-0.069527898
NFKB1	-0.250399722	-0.13854048	0.133018393
ALDH18A1	-0.315202073	-0.203647739	-0.352695241
ATIC	-0.117678137	-0.006139299	-0.494210494
CA5A	-0.292438462	-0.181183781	-0.418429489
SCNN1G	-0.144418112	-0.03320759	0.026736217
UCK2	-0.262432458	-0.151316767	-0.110450251
SLC24A2	-0.046645812	0.064089516	0.147031146
PPARG	-0.081742977	0.028986574	0.066955934
PPCDC	0.047414289	0.158097004	-0.28103773
HSD11B2	-0.15464341	-0.044043229	-0.314494899
SLC5A4	0.120155465	0.230697911	-0.025480792
EHHADH	-0.04445919	0.065969298	0.058345513
COX5B	-0.428122729	-0.317708591	-0.709509294
TCIRG1	-0.428514551	-0.318175706	-0.108445472
EDN2	-0.259386356	-0.14944831	-0.030047243
PGM1	-0.025469713	0.084207993	-0.041672604
ENPP2	-0.262343982	-0.152746421	-0.079710918
SMPD3	-0.197301482	-0.087756648	-0.24896569
COX5A	-0.286965589	-0.177645035	-0.669153154
BST1	0.074121402	0.183391959	0.153970895
DHRS7	-0.41880747	-0.309541166	-0.059915767
DPAGT1	-1.288842544	-1.179619656	-1.814548324
ZACN	-0.490763737	-0.381646649	-0.370851426
SLC2A10	-0.210218978	-0.101158585	-0.07332811
QDPR	-0.12810061	-0.019071008	0.084999719
PRXL2B	-0.354763485	-0.245971138	
SLC7A6	-0.397598509	-0.288818271	-0.096815511
PNLIPRP1	-0.005638955	0.103072339	0.116341966
TRPA1	-0.29602806	-0.187341199	-0.019570553
CES1	-0.158574272	-0.049892068	-0.031666472
FABP6	-0.152090246	-0.043527988	0.185103737
NDUFA9	-0.059809777	0.048717205	-0.412250224
CACNG7	-0.152279837	-0.043896017	0.368352999
PIP4K2A	-0.643271084	-0.534888494	0.073673552
HMGCS2	0.101121749	0.208686913	0.058082655
MPC1	-0.230050242	-0.122535441	0.163897223
DECR1	-0.301943312	-0.195466159	-0.047044939
NDUFS5	-0.489512434	-0.383104612	-0.909085353
SMS	-0.331987234	-0.225602118	-0.17417263
ACOX2	-0.32632477	-0.219954279	-0.050639258
GPX3	0.103020191	0.208970013	0.193105001
ADCY10	-0.50641135	-0.400529396	0.021929249
CYP19A1	-0.164893987	-0.059039018	-0.0074468
CACNA2D4	-0.01694821	0.088513939	0.031440493
CHDH	-0.125975922	-0.020564359	-0.022006936
NME6	-0.58451038	-0.479372651	-0.313738646
PDE8A	-0.142130376	-0.037339429	-0.043195782
NOXRED1	-0.199513382	-0.094995506	0.137386011
ST8SIA3	-0.164957184	-0.060458763	0.024120771
CLCN1	-0.117609884	-0.013345601	0.044105892
SLN	-0.150308086	-0.046071638	0.021483267
AK2	-0.131652289	-0.027599386	0.016489253
CTPS2	-0.180566878	-0.07657138	-0.060141992
CYB5D1	-0.405902613	-0.302039025	0.14181342
EPHX2	-0.041191898	0.062579179	0.059777534
SLCO4C1	-0.167447151	-0.063686099	0.051459341
SUOX	-0.129086485	-0.025429427	-0.275243777
PRDX1	-1.501816918	-1.398186747	-0.076776924
CYP2C19	-0.221050968	-0.117819	0.094258741
KCNT2	-0.146832243	-0.043617164	0.003451796
SLC25A44	-0.415470661	-0.312343853	-0.147070937
AHCYL1	-0.300717288	-0.197872506	-0.50018771
ABCG5	-0.386311499	-0.283552618	-0.014461752
GABRB1	-0.208803362	-0.106098674	0.135861591
PTGR2	-0.188302209	-0.085634816	0.061575166
AK8	-0.256213859	-0.15356741	-0.119753722
CYP2D6	-0.03946788	0.062545207	0.192697409
TDO2	-0.111307865	-0.009330115	0.063537322
SLC5A7	-0.275084526	-0.173172061	0.035032152
SSTR4	-0.017621891	0.084247627	0.149503637
UGT1A4	-0.090639871	0.011084626	-0.13378547
CYB5RL	-0.046128859	0.055590864	0.100055379
GNE	-0.391936044	-0.290276234	0.012820383
COX11	-0.453211995	-0.351553155	-0.533135263
ATP5PO	-0.407571018	-0.305974111	
HGD	-0.273479319	-0.171883957	0.001038442
GPAM	-0.18274086	-0.081446356	-0.084854035
PIGO	-0.621430151	-0.520436257	-0.353383014
CYP2F1	-0.025301608	0.075444643	-0.05765619
KCNA6	-0.211786267	-0.111091137	0.173082046
ATP10B	-0.013606345	0.087078624	-0.004458972
SLC6A5	-0.302941827	-0.202557805	-0.020043672
PLA2G12A	-0.289038455	-0.188714232	-0.198121222
CRLS1	-0.500685689	-0.400600171	-0.752949927
NDUFA5	0.011380289	0.111401131	-0.422425677
NPR3	-0.050323885	0.049480158	0.08039704
SYNJ2	-0.388965779	-0.289172146	0.243435601
GCK	-0.454450659	-0.354709717	0.090807265
NDUFB9	-0.283641419	-0.184028933	-0.480251285
NDUFB4	-0.199526021	-0.099941257	-0.700281793
MAN1A2	-0.077549215	0.02201666	-0.060331307
SLC49A4	-0.372736752	-0.273177015	-0.015847633
H6PD	-0.269877082	-0.170539234	-0.214493964
SLC25A38	-0.111258571	-0.012296009	-0.106545211
ALDH9A1	-0.212064335	-0.113103975	0.217440758
CERS5	-0.225171422	-0.126265279	-0.091128786
SQOR	-0.288216893	-0.189407826	
GAL3ST4	-0.254406421	-0.155648192	-0.22801487
PPAT	-0.511467122	-0.412858386	-0.572563381
IDH3B	0.0142459	0.112812383	0.09892542
CHPT1	-0.148134104	-0.050455437	0.081128922
ASPHD2	-0.423559895	-0.325904326	-0.08190922
ALDH4A1	-0.339330742	-0.241936968	-0.050864876
PCK2	-0.153467943	-0.05627455	-0.0181552
GPX6	-0.295193857	-0.198212226	0.143165114
ODC1	-0.216007836	-0.119063223	0.062654636
DDHD1	-0.35199545	-0.255086947	0.028538883
ATP12A	-0.145366069	-0.048620951	-0.029897528
CTBS	-0.130198755	-0.033507676	-0.069370867
GALNT2	-0.210914147	-0.114526551	-0.14286201
FAR1	-0.575157203	-0.478820607	-0.069522385
PHGDH	-0.229456189	-0.133305967	-0.059704287
ACSS2	-0.196416722	-0.100673069	0.271868148
ACSF2	-0.15840996	-0.062886343	-0.13775477
B3GNT4	-0.165336367	-0.0703078	-0.343048716
MIF	-0.087073024	0.007569377	-0.073004146
OAS1	-0.276209435	-0.181622586	0.040207429
GSTA5	-0.455196385	-0.360612345	-0.028628657
PLPP2	-0.068532246	0.026014028	
DCTD	-0.29181913	-0.197447857	0.105919651
GRIK2	0.00402174	0.098337497	0.153936025
ABCF3	-0.188959459	-0.094648709	0.024581254
SLC12A1	-0.365241571	-0.271039613	-0.115974764
RENBP	-0.105051348	-0.01097818	-0.129752997
PDE8B	-0.408695927	-0.314651115	-0.180213586
SLC16A9	-0.103152905	-0.009229757	0.0219819
SPR	-0.409252062	-0.315401329	-0.124730593
KCNQ3	-0.124444023	-0.030696496	0.019000368
MDH2	-0.528125889	-0.434388115	-0.252240393
ELOVL4	0.03951591	0.133164417	0.032987831
ENOSF1	-0.030249945	0.063364781	0.098640027
ATP8A1	-0.368869087	-0.275583362	0.08010426
TPCN1	-0.131601732	-0.038609131	0.138187517
HSD3B7	-0.297039214	-0.204058234	-0.242292816
MPST	-0.086906184	0.005619811	0.004247972
TET3	-0.312990173	-0.220718648	-0.089297321
IDUA	-0.016622113	0.075576285	0.012726891
ADCY8	-0.201598888	-0.10949587	-0.002699593
ABHD14B	-0.467646222	-0.375630781	-0.020265794
IMPA2	-0.072933295	0.018783662	-0.278850506
COQ2	-0.275299396	-0.183717523	-0.522170029
B4GALNT2	-0.128505072	-0.037060576	-0.141093285
P2RX1	-0.469377824	-0.377952199	-0.104425514
GALNTL6	0.002989983	0.094088171	-0.076960986
LPO	-0.416178469	-0.325677847	-0.158715177
ATP2C1	-0.374683224	-0.284515156	-0.1728442
TYMP	-0.088358454	0.001630654	-0.12828516
SLC5A3	-0.138325908	-0.048436936	-0.103829202
ATP5IF1	-0.411249092	-0.321473817	
SLC13A4	-0.223401902	-0.133638609	-0.013517083
TRPC3	-0.43384839	-0.344305804	-0.031905563
GALK1	-0.116800961	-0.027333272	-0.263621352
SLC5A8	0.084541347	0.174007205	-0.047731842
GAA	-0.128239644	-0.038783238	-0.129984556
CHID1	0.056998768	0.146376678	-0.15264414
FOLH1	-0.14158688	-0.052246042	-0.143053562
HPRT1	-0.380156097	-0.290870744	0.000949553
SLC25A5	-0.051517047	0.03766641	-0.23452925
GALNT12	-0.051686416	0.037452669	-0.160232354
APOB	-0.377855721	-0.288733341	0.171468589
TH	-0.173412962	-0.08431274	-0.00426073
SCN2B	0.105615066	0.194687635	0.153328752
GALNT18	-0.524700604	-0.436327348	-0.022216192
RAB18	-0.529769014	-0.441408987	-0.479936151
SLC12A6	-0.309185705	-0.220902663	-0.111449523
MGAT4B	-0.059837583	0.028004218	0.004359972
GLCE	-0.691932885	-0.604106361	-0.075382054
GAMT	-0.145517743	-0.057716943	-0.156536561
HSD17B12	-1.070989351	-0.983530677	-0.737701604
CACNA1C	-0.03778178	0.049634448	0.013609785
CACNG3	-0.303257813	-0.215877644	-0.030134075
PLPP4	-0.010699529	0.076575627	
CYP11B2	0.14071476	0.227966	0.15701046
KCNJ12	-0.633538724	-0.547005159	-0.263865468
B3GALNT2	-0.261092679	-0.175026364	0.140782009
PLA2G7	-0.488438083	-0.402525249	-0.06036989
NXN	-0.182715581	-0.097198021	-0.089992637
GLT8D1	-0.273024299	-0.187680918	-0.182326636
BCKDHA	-0.15375865	-0.068691301	0.01319191
SLC38A5	-0.197225645	-0.112200888	0.017880797
KL	0.054705975	0.139712512	0.069645024
ATP5H	-0.233273296	-0.148287601	
SLC32A1	-0.247909754	-0.162952163	-0.104738797
SLC46A2	-0.059021076	0.025916358	-0.118651315
NDUFA8	-0.189035296	-0.104145287	-0.609804438
BHMT2	-0.368881727	-0.284005577	-0.17556487
FLAD1	-0.23318482	-0.148386686	0.056689705
ARSA	-0.305343318	-0.220662029	-0.34140332
BLVRB	-0.161405504	-0.076749733	0.079195529
CNGB3	-0.213290359	-0.129140156	-0.001199469
HAS1	0.008741555	0.092727878	0.032908402
PDK4	-0.198363194	-0.114618559	0.064468072
MOCS3	-0.70884444	-0.625197285	-0.945388332
DHRS3	-0.107237969	-0.023793111	-0.117026341
KCNV2	0.08257718	0.165995485	0.104816773
ATP1A1	-0.898271558	-0.814916521	-1.371059428
SGSH	-0.201510412	-0.118246481	
G6PC2	-0.036873005	0.046208942	0.077407238
DCXR	-0.040024015	0.04299293	-0.162459663
COX16	-0.284842165	-0.201906676	-0.286540621
ATP5B	-0.731089835	-0.648156667	
ACAD10	-0.18097134	-0.098203025	0.001798053
ALG10	-0.272202736	-0.189620151	-0.115212256
CERS2	-0.697519512	-0.614963232	-0.351855701
CHAT	-0.045121497	0.037408789	-0.005354289
SLC7A1	-0.07972446	0.002741537	-0.22006926
PSAT1	-0.17765981	-0.095526318	-0.52184057
NDUFA6	0.028211205	0.110192295	-0.623618336
SLC16A7	-0.153265712	-0.071393487	-0.049862276
RDH12	-0.283123203	-0.201283857	0.272808556
ACOT7	-0.078709514	0.003075312	0.017831517
ATP4A	-0.227572914	-0.146164354	-0.016495251
SLC33A1	-0.511151136	-0.429844366	-0.171302301
POFUT2	-0.012476886	0.068803125	-0.145026588
AMT	-0.074088539	0.007138075	0.123979158
SLC39A7	-0.485139192	-0.404082297	-1.352389053
LIPA	0.001947736	0.082975094	0.028958116
NAALADL2	-0.337877208	-0.25685632	0.296802184
DDO	-0.051318608	0.029630626	0.011487387
FBP2	-0.16173413	-0.080844769	-0.073808714
COLGALT2	-0.324087591	-0.243437396	0.065583456
KCNU1	-0.05570449	0.024885875	0.095029934
HMGCL	-0.097945461	-0.017478573	-0.098035362
INPP5J	-0.206566183	-0.126164778	0.203511238
HAGH	-0.328296521	-0.247896216	-0.150181922
CHRNA2	-0.071453218	0.008876307	0.023637022
G6PC3	0.027438936	0.107589194	-0.006079446
GABRA2	-0.304938857	-0.224851903	0.151163994
TFAM	-0.18452302	-0.104497746	-0.7647085
PNLIP	-0.175384713	-0.095755628	0.143930583
STARD3	-0.077553007	0.001841846	-0.215915013
CERK	-0.143925175	-0.064589187	-0.232781974
CACNB1	-0.215805606	-0.136531888	-0.244054217
SULT6B1	-0.31018422	-0.231065941	-0.276095353
CACNB3	-0.431168831	-0.352062735	-0.627932327
AHCY	-0.471033589	-0.392248731	-0.937633172
ABCA1	-0.255265902	-0.176795737	-0.025018919
SLC6A19	-0.036492559	0.0419582	0.07082764
CYB5R1	-0.364432648	-0.28602974	0.077380542
ENOX1	0.002202547	0.08042012	-0.043254977
FUCA1	-0.309236263	-0.231334886	-0.12143069
GLT8D2	-0.041935097	0.035923931	0.037563593
SLC35B1	-0.715871963	-0.638304799	-0.796361297
PDHX	-0.411830505	-0.334312386	-0.053854948
KCNJ3	-0.234903782	-0.15748834	-0.020564727
CHST3	-0.096593042	-0.019381003	0.005077558
ACSS3	-0.265832464	-0.188827472	0.040220424
KCNAB2	0.039959554	0.116464368	-0.049996464
