gene	lineage	Fig4DE.genecluster	E3	E4	E5.pre-lineage	EPI	PE	TE	EPI	PE	TE	EPI	PE	TE
GDF3	EPI	EPI.late	2.9	2.6	20.8	324.4	125.7	9.3	439.5	112	8.8	706.4	65	10.3
GGT1	EPI	EPI.late	0.6	0.6	0.9	2.8	0.7	0.1	6.5	1.3	0.3	5.2	1.2	0.6
GK	EPI	EPI.late	0.1	0.6	0.6	4	1.6	0.3	3.6	0.6	0.1	1.5	0.3	0.1
GPRC5C	EPI	EPI.late	0.7	13.7	15.5	78.8	62.2	10.3	56	10.9	5.4	19.8	8.9	5.9
GUCA1A	EPI	EPI.late	1	3.3	3.3	12	1.4	0.6	14.7	6	0.9	19.9	1.5	1
IFITM1	EPI	EPI.late	3.4	2.4	125.2	1305.2	717.9	55.3	1838.3	618.5	76	1705.7	294.3	168.6
IGSF1	EPI	EPI.late	0.1	0.4	0.8	8.6	5.3	0.6	13.4	3	0.3	11.9	0.5	0.2
IL23A	EPI	EPI.late	4.8	1	0.9	11.8	1.8	0.1	8.4	4.6	0.3	13.5	1.5	0.2
LIM2	EPI	EPI.late	2.9	5.4	2.6	17.7	2.4	0.5	17.4	3.1	0.3	12.6	1	0.4
LINC01108	EPI	EPI.late	0	2.2	3.9	24.3	7.1	3.6	25	7.1	1.2	17.4	5	0.5
LRP4	EPI	EPI.late	3.1	3.7	3.4	16.6	7.8	0.9	12.1	1.9	0.5	9.2	2.1	0.6
MAN1C1	EPI	EPI.late	0.6	1.7	4.7	30.2	8.4	2.1	31.6	2.8	0.4	10	3	0.5
MAP4K1	EPI	EPI.late	2.7	1.1	1.8	9.6	4.4	1	16.4	2.6	1	15.9	1.7	0.5
MEG3	EPI	EPI.late	0.9	0.2	3.2	45.5	14.7	2.4	93.8	39.8	1.1	116.6	18.7	2
MIAT	EPI	EPI.late	0.2	0.1	0.3	3.5	1.5	0.1	4.3	0.7	0.1	2.2	0.4	0.1
MUC4	EPI	EPI.late	0.1	0.1	0.4	1.3	0.3	0.2	4.2	0.6	0.2	6.7	0.8	0.2
NANOG	EPI	EPI.late	7.9	5.5	5.3	40	21	1.2	39.7	15.3	0.6	30.1	3	0.5
NLRP9	EPI	EPI.late	146.8	9.7	2.3	9.2	3	2.8	10.3	2.4	0.6	3.7	0.5	0.3
NODAL	EPI	EPI.late	1.1	1.2	3.5	29.1	13.6	0.2	122.5	23.5	1.8	181.2	27.8	3.9
NRBP2	EPI	EPI.late	1.7	5.1	5.8	21.6	9.1	2.3	15	3	1	7.3	3.2	0.8
PIM2	EPI	EPI.late	7.5	5.9	26.7	145.6	156.5	21.7	319.7	52.5	19	106.3	23	17.9
PITPNM2	EPI	EPI.late	0	0	0.1	2.1	1	0.1	3	0.6	0.3	3.8	0.9	0.4
PRUNE2	EPI	EPI.late	1.6	0.6	0.7	2.8	1.6	0.4	4.3	0.9	0.2	4.5	0.9	0.1
RASD1	EPI	EPI.late	6.4	7	35.6	52.8	38.3	7.6	40.4	4.8	1	22.9	6.8	1.6
RRAD	EPI	EPI.late	1.2	10.6	27.3	62.1	23.7	21	70.4	13.2	5	33.6	11.9	2.8
SAT1	EPI	EPI.late	13.2	91.7	72.7	286.2	170.1	28.1	538.7	242.1	21.1	212.9	95.3	16.9
SEPT6	EPI	EPI.late	1.5	0	0.2	2.2	0.6	0.3	9.8	0.7	0.4	6.1	1.2	0.5
SERINC5	EPI	EPI.late	28.1	8.1	12.5	52.4	36.8	12	51.7	27.6	11.2	40.6	15.1	10.8
SLC16A9	EPI	EPI.late	6.2	15.8	4.7	25	12.6	1	12	0.7	0.3	9.7	2.7	0.4
ST6GALNAC3	EPI	EPI.late	3.4	1.3	1.7	15.3	9.7	0.8	12	1.6	0.2	5.5	0.9	0.2
TBC1D16	EPI	EPI.late	0.2	0.7	0.7	4.9	1.5	0.3	5.5	0.8	0.3	8.6	0.7	0.5
TDGF1	EPI	EPI.late	1.2	0.2	7.8	70.2	26.1	4.4	113.7	46.5	5.9	127.2	15.3	2.7
TDGF1P3	EPI	EPI.late	0.5	0.1	1.7	14.6	4.7	0.8	19.2	7.5	1	22.6	2.2	0.5
TRIM56	EPI	EPI.late	0	2	2.8	9.3	2.6	2.4	6.2	0.7	0.6	3.9	2.2	0.6
UNC5B	EPI	EPI.late	0	0.1	1.9	11.1	8.1	1.2	18.8	1	0.6	8.2	1	0.4
UPP1	EPI	EPI.late	10.7	215.8	418.8	972	547.9	290	790.3	147.6	131.9	360.7	153	177.1
USP28	EPI	EPI.late	2.3	13.9	24.5	87.6	67.7	16.9	64.4	24.4	18	47.2	20.8	12.8
UTF1	EPI	EPI.late	0.2	0	1.8	19.5	5.1	1.2	51.8	2.1	0.8	20.3	6.8	0.7
VASH2	EPI	EPI.late	1.2	0.1	0.3	3.3	1.4	0.3	10.4	1.7	0.4	10.1	2.4	0.3
VENTX	EPI	EPI.late	0.3	0	6	53.5	27.4	2.1	39.9	10.3	0.5	31.7	3.7	0.5
VSNL1	EPI	EPI.late	0	0	0	2.5	0.1	0	12.2	6.5	0.2	25.4	4.6	0.9
WNT3	EPI	EPI.late	2	3.2	1.4	7.8	2.6	0.9	18.1	4	0.3	15.7	2.8	1.2
ZIC3	EPI	EPI.late	0.1	0	0.2	2.9	0.6	0	3.1	1.1	0.3	4.1	0.8	0.1
ZSCAN10	EPI	EPI.late	1.1	0.1	1.2	11.9	4.5	0.4	23.4	3.3	1.8	26.3	6.5	2.1
ZYG11A	EPI	EPI.late	8.9	9.2	12.2	38.4	24	6.1	17.1	6.2	4.9	13.9	5.8	3.7
BMP6	PE	PE.early	52.9	4.1	1.5	4	9.9	2.2	2.5	14.2	0.8	0.8	22.7	1
CELA3A	PE	PE.early	8.1	6.6	4.7	0.9	9.8	0.7	3.6	6.8	0.3	0.3	12.2	0.2
CELA3B	PE	PE.early	6.7	5.6	3.7	0.9	9.8	1.1	1.8	3.5	0.3	0.2	8.6	0.1
DEPDC7	PE	PE.early	63.6	22.5	5.2	3.4	17	1.7	8.4	16.2	2.1	4	15.3	0.8
DPP4	PE	PE.early	0.1	6.9	2.3	2.8	13.1	1.5	8.3	31.3	1.4	3.5	33.4	1.7
DYNLT3	PE	PE.early	5.3	11.5	5.4	3.1	7.4	2	5	6	1.4	4	20.8	1.8
FN1	PE	PE.early	40.9	3.3	1.5	0.6	2.2	0.9	0.6	23.8	0.9	1.5	52.8	0.9
GATA6	PE	PE.early	22.5	110.9	65.9	26.2	54.9	40.9	14	35.9	23	8.6	39.1	12.9
GCNT3	PE	PE.early	54.6	11.3	2.9	3.3	6.8	1.8	2.7	6.6	0.4	1.5	13.8	0.2
HNF4A	PE	PE.early	5.3	45.9	16.7	17.4	21.6	8	10.3	18.6	3.1	6.2	26.8	1.5
OTX2	PE	PE.early	386.8	56.8	17.2	39.8	56	23.1	9.2	21.9	4.4	5.6	40.1	5.4
P4HA1	PE	PE.early	14.6	18.1	5.7	3.3	21.4	2.8	7.2	43.5	8.4	7.4	55.3	6.4
RGS5	PE	PE.early	1	4.7	3.2	1.7	6.7	1.5	1.6	4.7	1.3	1.3	8.3	1.1
SERPINE2	PE	PE.early	31.5	23.2	15.4	14	11.1	3.5	19.1	43.3	3.2	19.7	86.6	4.1
ABHD6	PE	PE.late	0.8	4.2	9.7	7.5	29.2	8.1	11.8	14.8	8.8	7.4	17.8	6.5
ADD3	PE	PE.late	35.1	8.8	11.7	7.7	28.2	11.2	10.6	27.4	10.5	6.2	40.8	7.5
ALDH1A1	PE	PE.late	0.4	0	1.9	5.8	21.9	1.2	6.7	53.8	17.1	1.6	26.8	1.3
AMBN	PE	PE.late	0.1	0	1	0.5	11.2	0.4	1	20.3	1.3	0	3	0.2
AMOTL1	PE	PE.late	4.5	0.8	0.8	0.3	4.5	0.9	1.2	4.8	0.9	0.9	11.5	1
APOA1	PE	PE.late	0.2	1.7	13.9	7.1	207.1	4.8	29.3	1666.1	38.3	84.6	3276.5	45
APOA2	PE	PE.late	30.6	0.9	21.7	77.4	125.5	3.9	92.5	116.5	20	28.9	113.1	33.8
BMP2	PE	PE.late	0	0.3	5.7	40.1	53	2.3	12.7	29.9	0.3	2.3	28.1	0.7
CACHD1	PE	PE.late	0.1	7.2	5.3	2.9	5	4	3.4	19	4.2	2.9	18.4	1.9
CADM1	PE	PE.late	15	8.6	13.9	15.5	47.6	7.3	11.8	46.9	3.4	8.5	79.6	10.4
CAMK2D	PE	PE.late	0.1	0.2	2	1.7	8.6	3.4	2.1	8.6	3.8	0.6	10	2.4
CCAT1	PE	PE.late	0	0	0	0	1.1	0	0.1	0.8	0	0	1.7	0
CDH11	PE	PE.late	0	0	0.3	0.5	3.1	0.2	4.2	10.4	0.4	0.7	20.2	0.2
CDH2	PE	PE.late	5.1	4.1	1.9	0.7	2.8	0.3	0.3	7.7	0.3	0.5	22.1	0.3
CERS6	PE	PE.late	2.5	0.9	0.8	0.3	1.8	0.4	0.7	2.1	0.1	0.5	3.7	0.1
CMBL	PE	PE.late	0.3	0.5	2.5	1.1	2	1	4.2	9.2	1	3.2	13.6	0.8
CNIH3	PE	PE.late	0.6	0.2	0.9	8	7.4	0.1	8.7	14.2	0.3	2	7.6	0.3
COL4A1	PE	PE.late	0	0	0.7	1.2	9.7	0.1	5	37.1	0.4	1.3	48.1	0.8
COL4A2	PE	PE.late	0.2	0.1	0.8	1	5.6	0.4	5.9	14.9	0.6	1.4	36.1	1.2
CPN1	PE	PE.late	0.2	0.7	0.5	1	2.2	0	4.7	9.3	0.3	0.8	13.2	0.1
CTSE	PE	PE.late	0	0	2.2	9.1	21.1	2.5	13.4	64	1.8	2.8	107.9	2.3
DENND2C	PE	PE.late	0.5	0.9	0.7	0.8	5.4	0.2	1.1	3.3	0.3	0.8	5.9	0.1
DUSP4	PE	PE.late	0.7	7.7	14.1	5.3	9.1	3.9	3.4	7.4	1.2	2.9	29	1.3
EDEM1	PE	PE.late	6.4	2.6	4.9	5.5	11.9	4.4	4.7	9.5	4.5	4.1	11.6	5.2
FLRT3	PE	PE.late	0.2	0.1	0.3	0.4	3.8	0.3	0.5	16.9	0.3	0.5	19.9	0.4
FOXA2	PE	PE.late	0.1	0.1	0.7	2	9.5	0.1	2.7	9.5	0.2	4.6	9.6	0.6
FRMD6	PE	PE.late	4.9	4.3	7.6	13.7	30.6	8.5	10.8	19.6	10.1	13.6	19.7	10.9
FRZB	PE	PE.late	0.1	0	0.1	0.1	6.9	0	0.6	13.7	0.1	0.1	23.6	0.2
FST	PE	PE.late	1.3	0.1	0.6	0.8	3.6	0.7	1.8	8.9	3.3	13.4	35.1	10.9
GATA4	PE	PE.late	1.7	0.1	0.4	1.3	10.4	0.2	4.2	20.1	0.5	1.2	35.3	0.7
GNA13	PE	PE.late	28.7	16.3	15	19.1	27.9	10.9	10.1	18.6	9	11.3	28.5	9.7
GPC3	PE	PE.late	13.4	2.5	5.2	15.4	13.4	1.5	7.8	29.8	1.3	17.5	45.1	1.1
HMGCR	PE	PE.late	24.4	13	51.4	78.3	231.1	87.9	64.1	107.4	57.9	41.9	97.2	45.6
HNF1B	PE	PE.late	0	0.1	4.1	7.6	39.2	2.8	2.4	12.3	0.8	0.8	26	0.5
ID2	PE	PE.late	81.1	4.4	16.8	24.8	45.7	36	14.8	35.8	17.1	52.7	137.4	34.7
IGF1	PE	PE.late	0.1	0.2	0.6	0.3	4.9	0.4	0.8	10.6	0.5	0.4	24.8	0.4
KCNJ16	PE	PE.late	0.2	0	0.1	0.5	2.6	0	0.8	1.6	0	0	1.9	0.1
KIFAP3	PE	PE.late	8.6	7.5	12	16.5	38.7	11.5	10.3	13.9	7.5	5.1	15.1	7.2
KIT	PE	PE.late	15	3.1	8	4.9	18.9	1.9	6.9	3.5	0.5	1.2	5.2	0.2
LEPRE1	PE	PE.late	2.6	18.1	19	29	40.4	9	20	37.8	17.4	10.1	55.9	10.3
LINC00261	PE	PE.late	0	0	0.6	0	9.6	0.2	0.8	8.3	0.2	0.5	21.9	0.3
LOC101929344	PE	PE.late	0	0.6	0.8	0.7	9.6	0.2	2.4	13.6	0.2	2	25.7	0.6
LOC101929767	PE	PE.late	0.2	3.4	3	12.1	20	2.5	10.7	21.2	4.1	10.6	52.7	4.3
LOC400043	PE	PE.late	0	4.7	6.6	15.9	15.8	2.5	3.3	7.2	1.2	0.7	13.5	0.9
LRRC16A	PE	PE.late	82.9	11.2	10.5	7.6	14	6.6	9.9	18.8	8.8	5.4	16.9	5.7
MAP2K6	PE	PE.late	4.9	2.9	3.5	6.5	19.7	2.2	4.7	15.2	4.3	3.8	8.6	1.5
MARCKS	PE	PE.late	1.4	17.7	26.7	13.8	38.4	22.6	11.4	35.4	17.5	3.6	38.5	6.7
MYL4	PE	PE.late	4.2	1.3	4.1	0.5	13.4	2.1	5.5	58.3	3.1	3.9	86.1	2.1
NID1	PE	PE.late	0.3	1.6	16.3	27.5	73.7	25.3	28.8	63.7	31.9	12.5	72.2	21.9
NID2	PE	PE.late	7.6	1.5	0.5	0.9	9	0.2	0.8	7.5	0.3	0.7	22.9	0.3
NOG	PE	PE.late	0.3	0.9	0.7	0.8	3.7	0.8	0.5	3.5	0.5	0.6	10.1	0.5
PAPSS1	PE	PE.late	11.8	9.8	11.7	14.1	27.8	10.7	19	27.2	11.2	17.6	34.3	14.7
PDGFRA	PE	PE.late	2.3	0.3	10.6	23.3	97.6	2.1	10.5	28.3	1.1	2.8	50.4	1
PDPN	PE	PE.late	40.3	8.9	22.9	11.1	49.4	26	49.9	69.5	7.7	33.3	84.9	2.9
PGM1	PE	PE.late	2.1	3.6	24.7	11.5	43.8	25.4	16.5	33.9	16.2	14.8	34.9	10.5
PHLDB2	PE	PE.late	1.2	1.4	1.3	4	5	1.1	2.4	4.8	1.3	5.7	10.9	2.1
PIK3R1	PE	PE.late	3.9	0.8	1.1	1.5	4.2	0.5	1.1	2	0.5	1.3	3.6	0.7
PITX2	PE	PE.late	1.1	2.3	1.5	4.3	15.7	1	9.1	36.8	1.6	7	49.9	1.4
POMC	PE	PE.late	65.7	30	52.1	7.7	8.4	55.9	50.8	22.5	54.9	31.1	11.1	19.7
PRCP	PE	PE.late	0.6	2.7	18.2	47.1	47.7	13	21.3	35.8	11.6	14.9	55.7	13.7
PROS1	PE	PE.late	0	0.1	1.1	6.9	11	0.6	4.1	5.1	1	2.7	5.6	0.9
PTK2B	PE	PE.late	6.9	1.2	0.7	0.2	3	1.4	0.8	2.5	0.4	1.2	6.5	1
RNASE1	PE	PE.late	2.2	0.3	12.3	16.9	44	36.1	37.7	105.7	52.5	17.6	175.6	19.4
ROBO1	PE	PE.late	1.3	0.4	0.9	0.8	3.2	0.6	1.4	5	0.4	1.5	6.1	0.5
RSPO3	PE	PE.late	0.1	0	0.6	1	5.8	0.1	2.7	27.1	0.6	1.8	64.8	1
SALL1	PE	PE.late	0.3	0.5	0.3	1	2.6	0.1	0.6	1.2	0.1	0.3	3.3	0.1
SLCO2A1	PE	PE.late	0.7	0	1.7	2.2	7.8	1.4	5.5	7.8	1.8	1.7	18.1	3.9
SMAD9	PE	PE.late	0.4	1.2	1.1	0.7	4	1.6	1.7	3.1	1.4	0.8	4.4	0.7
SP8	PE	PE.late	0	1.8	1.5	2.4	5.2	0.6	3.1	5.9	0.5	2	13.1	0.6
TMEM123	PE	PE.late	11.2	5.1	6.3	13.5	37.6	5.6	21.5	28.2	11	19.6	45.9	14.9
TMEM88	PE	PE.late	1.4	0.7	2.1	2.4	3.3	2	2.1	17	6.5	3.2	50.4	10.7
TRIM2	PE	PE.late	0.1	1.8	6.1	9.2	24.6	8.7	9	22.4	4.6	5.8	32.6	2
VIL1	PE	PE.late	2.7	0.1	0.8	1.5	4	0.1	2	3.6	0.3	0.4	5.6	0.1
VWA5A	PE	PE.late	12.7	4.7	5.7	12.8	25.9	1.6	2.6	8.9	0.4	1.6	2.7	0.3
ANKRD1	PE	NA	0.2	0.1	1.5	0.9	0.7	1.8	0.2	5.5	1.3	0.7	11.9	0.9
CALCR	PE	NA	0.3	0	0.1	0.6	0	0.1	0.5	0.8	0	0.3	2.1	0
COL18A1	PE	NA	0.6	0	0.2	0.1	0.5	0.2	1.1	3.6	0.2	0.3	7.8	0.3
FAM198B	PE	NA	0.3	0.1	0.2	0.2	0.7	0.1	0.1	1.7	0.3	0.5	4.4	0.4
FGG	PE	NA	0	0	0.2	0.2	0.3	0	0.4	4.1	0.2	0.1	7.3	0
GCKR	PE	NA	0.5	0.1	0.3	0.3	0.8	0	0.7	2.2	0.1	0.1	4.9	0
GPR161	PE	NA	0.8	2.5	1	0.2	0.7	0.4	0.6	4.5	0.3	0.5	4.4	0.5
HABP2	PE	NA	61.5	3.2	0.8	0.4	0.4	0.7	0.1	7.6	0.2	0.1	8.6	0.2
ITIH5	PE	NA	3.9	0.4	0.7	0.6	1	1.2	0.9	5.1	0.5	0.5	9.2	0.3
MTTP	PE	NA	0.1	0.1	0	0	0.5	0	0.4	1.2	0	0	3.5	0
SYT13	PE	NA	0	0	0.1	0.3	0.5	0	0.4	1.8	0.1	0	4.1	0.2
TNIP3	PE	NA	0.1	0.1	0.2	0.1	0.4	0	0	3.9	0.3	0.4	9.6	0.1
FRMD4B	TE	TE.early	9.1	13.3	9.4	1.7	3.4	13.7	3.6	10.2	15.4	4.7	10.5	16.2
GLIPR2	TE	TE.early	1.7	94.2	164.6	45.3	76.8	155.3	63.6	65.8	89.7	14.5	27.5	43.8
HSPB11	TE	TE.early	122.8	83.4	57.6	17.6	23.6	100.4	44.1	48.8	108.2	31.1	23.7	50.6
MYC	TE	TE.early	753.7	139.1	79.1	18.3	32.5	105.5	47.5	87.4	126.3	51.8	45.8	100.8
MYLPF	TE	TE.early	2.2	11.5	27.6	8.1	7.8	35.1	17.6	17.9	42.3	20.4	9.1	28.4
OSBPL6	TE	TE.early	17.3	8.6	11.7	2.2	3.1	9.8	2.4	2	5.2	2	1.1	3.4
PDLIM1	TE	TE.early	37.5	92.8	160.7	56.2	54.9	169.3	117.7	129.6	197.9	107.4	92.5	172.9
PIP5K1B	TE	TE.early	4.2	29.5	26	1.5	2.7	20.4	5.2	6.1	12	2.7	2.6	7.2
SYBU	TE	TE.early	0.3	2.3	2	0.5	1.2	4.4	4.3	6.2	10.8	2	2.1	8.1
TMEM171	TE	TE.early	6.3	1.6	7.2	0.8	0	5.2	1.7	2.3	10	4	2.5	12.6
VAMP8	TE	TE.early	18.4	222	367.5	106.1	166.3	401.9	169.9	245.3	297.8	160.5	179.6	346.9
ABCG2	TE	TE.late	0.2	0.3	7.6	3.3	10.4	35.1	23	54	71.3	35.8	32.5	93.2
ADAM15	TE	TE.late	4	3.1	9.2	6.1	5.5	24.5	10.8	22.6	40.2	23.6	18.4	43.1
ADK	TE	TE.late	4.2	2.8	13.2	5.7	11.3	38.1	19	38.9	55.4	32.8	39.2	61.7
ALPP	TE	TE.late	13.5	15.7	75.1	18.1	24.7	123.4	41.7	60.4	104.1	12.7	12.3	48
ANKRD6	TE	TE.late	6.6	0.6	2.3	0.2	0.8	4.3	2.3	6.6	9	3	3.7	14.9
ANXA6	TE	TE.late	1.4	4.8	43.2	12.7	28.4	58.2	57.7	88	121	54.1	27.3	76.2
ARHGAP23	TE	TE.late	0.1	0.1	1.2	0.3	0.4	3.7	1	0.9	3.1	0.8	0.7	2.6
ARHGEF26	TE	TE.late	4.7	4.1	4.6	1.9	2.9	10.2	2.5	4	6.5	1.9	0.8	2.7
ATP8B1	TE	TE.late	14.8	11.2	10.6	3	4.4	17.7	6	5.8	12.3	3.4	2.1	5.9
BASP1	TE	TE.late	78.1	145.5	192.1	76	72.6	350.6	130.2	135.9	281.2	74	88.7	184.7
C4BPB	TE	TE.late	0.7	0.3	8.9	0.8	4.5	29.2	21	35.7	60.4	8.3	6.5	31.5
CAST	TE	TE.late	10.1	3.3	8.7	3.1	6.7	20.6	6.5	13.7	25.6	8.7	9.7	19.6
CD24	TE	TE.late	1.6	1.2	13.6	18.6	14.4	52.1	64.9	130.5	188.6	143.5	119.8	251.8
CD53	TE	TE.late	1.9	35.5	160.2	108.3	130.7	197.5	142.6	240.2	296.1	59.4	34.9	116.6
CITED4	TE	TE.late	0.3	18.2	20.4	7.1	7.4	40.8	13.5	5.8	28.1	3.5	4.7	16.4
CLDN3	TE	TE.late	0.1	0.3	2.9	0.4	1.6	8.3	14	15.7	38.7	27.1	25.1	56.9
DAB2	TE	TE.late	9.5	37.6	60.4	15.1	27.1	172.9	49.1	72.2	140	50.7	55.5	114.3
DNAJC6	TE	TE.late	0.4	0.2	2.3	0.7	1.3	6.3	2.7	3	6.8	0.9	1.1	3.9
ELOVL6	TE	TE.late	8.5	14.9	17.7	17.9	19.4	45.2	32.2	37	51.3	26.1	13.6	42.3
