DEGs	log2FC	qvalue
HPSE2	-7.75881889	5.89E-06
SLC25A18	-4.072648214	5.92E-06
EDN1	-4.104605121	6.04E-06
SP5	4.787220452	6.04E-06
HS6ST3	-7.777042936	6.08E-06
RGS7BP	-6.801028592	6.24E-06
CRYBA4	10.03383388	6.36E-06
LOC100506526	-10.91557057	6.78E-06
DLGAP2	-8.732164313	7.41E-06
PRKCB	-5.964210859	7.51E-06
FOXO4	-5.47349452	7.83E-06
MYO3A	6.563534715	7.93E-06
TTC30B	4.811571335	7.93E-06
IQSEC3	-7.702299247	8.34E-06
LINC01007	-25.82847505	8.34E-06
LOC100996342	-6.488719582	8.34E-06
C6orf118	4.247784157	8.51E-06
CES3	4.512828567	8.51E-06
GPR64	5.970058551	8.51E-06
DMRT3	5.677284679	8.78E-06
HES3	10.53289498	9.77E-06
NRSN1	-7.097221377	9.86E-06
ABCB1	-4.947388064	1.02E-05
RUNDC3B	-4.850882427	1.10E-05
SUSD2	5.746991344	1.14E-05
HAPLN1	5.143574514	1.15E-05
TBX5	9.237337834	1.21E-05
TGFB3	-6.156233297	1.32E-05
COL5A1	5.139809011	1.35E-05
CLEC2L	-6.987347036	1.36E-05
GPR88	-6.402027656	1.40E-05
CYP4F12	4.770175982	1.41E-05
C1QL4	7.44021372	1.43E-05
FAM163B	-7.671184163	1.43E-05
TNFRSF10D	-3.664919373	1.43E-05
CAMK1G	-7.047577644	1.46E-05
ZNF474	6.350095505	1.69E-05
ATCAY	-6.532284317	1.72E-05
KIAA1683	9.108071093	1.74E-05
MICALL2	4.000010547	1.81E-05
LRTM2	-7.396949663	1.83E-05
DNAJA4	-3.96687498	1.99E-05
KCNN1	-6.238881537	2.13E-05
ANO3	-5.913746589	2.14E-05
CNTFR	-3.464921991	2.20E-05
PNCK	-4.581307812	2.26E-05
GDF10	4.586557252	2.28E-05
CFI	3.701257182	2.31E-05
ACPP	7.029920961	2.36E-05
DLGAP1-AS4	-10.42406601	2.44E-05
LOC100288637	-6.522136314	2.59E-05
GUCY1A2	-3.934563812	2.60E-05
SLC26A4-AS1	-8.333838283	2.63E-05
TAL1	-3.945679216	2.68E-05
COL6A1	3.539704698	2.85E-05
COL1A2	3.156723833	2.86E-05
RASD2	-3.419875012	2.89E-05
HSP90AA1	-3.025456289	2.95E-05
NEFL	-5.233841563	3.00E-05
HIGD1B	-4.664409487	3.08E-05
ESPN	5.657079552	3.12E-05
RIMS1	-7.164443784	3.16E-05
C1orf158	5.383817341	3.20E-05
CACNG8	-5.161181793	3.34E-05
LY86-AS1	-24.23792326	3.75E-05
DLK1	6.647732282	4.03E-05
FHDC1	3.648784475	4.03E-05
BRE-AS1	-5.750777738	4.05E-05
PLEKHG4B	6.790922918	4.10E-05
TUBA8	-4.345172292	4.17E-05
NKX2-1	-24.0783443	4.33E-05
CAMK2N2	-5.321288332	4.47E-05
SSTR3	-10.49031815	4.47E-05
HPCAL4	-6.710051144	4.62E-05
FGF3	23.98751743	4.65E-05
KIF1C	-4.812616284	4.76E-05
VTI1B	-3.151401475	4.76E-05
GPC4	3.344767273	5.11E-05
SYNPR	-5.312763472	5.13E-05
TTC30A	3.713810061	5.18E-05
ADCY1	-6.086441435	5.18E-05
SPTBN1	-3.39351762	5.25E-05
C7orf57	7.742380958	5.25E-05
RAB11FIP4	-3.753284554	5.25E-05
CTXN3	-10.49050202	5.32E-05
ELL3	4.130979138	5.32E-05
JAG1	3.560664373	5.38E-05
RIMS2	-6.128227558	5.38E-05
CCK	-6.796338118	5.54E-05
KCNC2	-8.036283065	6.19E-05
HMX1	4.412893204	6.49E-05
ICAM2	-4.264027879	6.49E-05
CHPF	3.058488266	6.87E-05
PHYHIP	-5.680531463	7.03E-05
PINK1	-3.132018383	7.11E-05
FGF13	-6.321808754	7.67E-05
WFIKKN2	6.513401105	8.20E-05
DMTN	-5.810124084	8.22E-05
RGS7	-7.322509451	8.54E-05
NPM2	-6.814340914	8.55E-05
EPHB6	-5.620058338	8.63E-05
KCNV1	-10.23702023	9.02E-05
SYT5	-5.379119861	9.14E-05
TRAM1L1	4.093312491	9.26E-05
LOC100289650	-6.935341822	9.40E-05
ZNF385C	3.787018548	9.40E-05
OLFM3	-8.389013021	9.42E-05
TPSAB1	9.657989267	9.50E-05
CAMKV	-5.315932687	9.96E-05
CELSR1	5.009801256	9.96E-05
MTURN	-6.196448217	0.000100485
SH3PXD2A	-4.22665569	0.000102328
PCAT19	-4.920146384	0.00010251
FAM57B	-5.994593495	0.000104207
LPAR1	-5.490957071	0.000104527
LINC00643	-5.892607576	0.000104733
MUC2	8.575011545	0.000106139
RBP4	-5.963782467	0.000109753
C1QL3	-10.69473124	0.000115607
SLC8A2	-6.827452301	0.000116645
TLE2	-3.474510266	0.000116861
ASPDH	-4.961457641	0.000118941
L1CAM	5.410386457	0.000118941
PCDH9	-3.868089208	0.000118941
SHD	-5.156135818	0.000118941
TCIRG1	3.469417293	0.000118941
BGN	3.131275241	0.000121465
SEMA6B	-5.594353914	0.000121699
COL18A1	4.059830247	0.000122433
AVPR2	5.047498371	0.000123234
CELF3	-6.24194634	0.000123234
SNAP25	-5.764906606	0.000123234
TESPA1	-8.665476866	0.000123234
GABBR1	-4.408005553	0.000127523
HSPA1A	-4.312480694	0.000127923
IPCEF1	-5.733689167	0.000135815
RIMS4	-5.981744047	0.000136915
MAMDC4	3.825534801	0.000137423
TAGLN3	-5.008545166	0.000137423
DRAXIN	5.086489353	0.000140876
MATK	-5.228638819	0.000140876
CADPS2	-3.68203045	0.000152418
PRKCH	-3.692440914	0.000152418
UNCX	22.57608889	0.00015401
LOC101928386	-5.010326514	0.000160094
SERPING1	2.87782556	0.000164173
CCDC136	-3.108884438	0.000169278
MC5R	10.06795294	0.00017176
LPPR3	-5.037955741	0.000173183
TM7SF2	2.928235235	0.000177641
TMOD2	-3.292373504	0.000178197
PLXNB2	3.241183567	0.000179393
BEX5	-4.784549757	0.000189273
ROR2	4.550311277	0.000189273
TMCC2	-2.864625598	0.000193868
LEMD1	7.91406646	0.000201236
SLC52A3	-5.081066904	0.000201236
ATP6V1G2	-3.727685827	0.0002066
RSPH4A	4.058804297	0.0002066
MEGF6	4.7044728	0.000210536
MIR4461	-5.217679289	0.000217502
FABP3	-3.595142949	0.00021907
SERP2	-3.310083739	0.000230711
HLA-DRB5	4.81909909	0.000234069
KIAA1045	-5.715359206	0.000247113
KIF25	-7.378357672	0.000249022
CYP46A1	-3.686672392	0.000255448
PTHLH	4.431211181	0.000257692
LINC00889	-8.989047588	0.000258557
EFCAB1	3.208743193	0.000258857
PLA1A	-5.057426608	0.000258857
CCNI	-2.731508697	0.000260665
FADS6	-9.708834626	0.000262262
HIPK2	-3.748914105	0.000264234
CTXN1	-3.849151741	0.000269562
PLIN5	-3.77516666	0.000271195
TP53INP2	-5.04839494	0.000271195
TBR1	-5.793147496	0.000277456
CHGA	-4.674463852	0.000278451
VSTM2A	-9.523991866	0.000278451
MYCN	4.411219788	0.000279655
TRHDE-AS1	-6.340066069	0.000284151
CACNB3	-5.495013821	0.00028613
VIP	-7.321326441	0.00028613
ZNF185	4.342537207	0.00028613
GPC5	-4.301642335	0.000295825
FXYD7	-6.337155801	0.000302328
C19orf68	-3.72422146	0.000305627
KRT8	8.301502223	0.000309776
FAM83G	4.180568949	0.000311594
NEURL1	-5.851717793	0.000333739
G0S2	-3.326242089	0.000334336
RCOR2	3.878613396	0.000336957
CCDC170	3.640016358	0.000353023
HOPX	-4.425184137	0.000353023
LFNG	3.509781667	0.000354553
LOC100507351	-8.606872794	0.00035908
SLC25A23	-3.867289574	0.00035908
ITPKA	-5.027474082	0.000373473
SLC25A41	-4.434582276	0.000373473
C15orf26	5.124736881	0.000379776
SLC16A4	3.076793674	0.000385018
KRT222	-5.988211516	0.000400543
SHC3	-5.23808256	0.000401225
TPSB2	9.46515374	0.000401225
HSPA12B	-3.896813511	0.00040185
CCND1	3.708588441	0.000406831
DYDC2	3.521517845	0.000406831
KRT19	-5.445603161	0.000406831
GDF15	3.68344668	0.000410365
DNAH5	3.852981322	0.000410494
P2RY14	-5.436939851	0.000418996
TCTE1	6.612498163	0.000422764
TP73	4.851919905	0.000423886
C1orf115	-4.790233058	0.000427786
RUNDC3A	-4.382273706	0.000435023
CDKN2D	-3.983065405	0.000446344
DCDC5	4.181522801	0.00045298
FXYD3	-4.065586588	0.000458127
PIFO	3.236093927	0.000466387
HCAR1	7.852157576	0.000473485
KIAA1598	-4.765629744	0.000473485
CNTNAP5	-6.208743243	0.000493215
INHBB	3.470238551	0.000493215
RLTPR	-6.227011888	0.000493215
HYDIN	2.884452833	0.000500007
GPR12	-4.619073919	0.000510317
NUDT3	-2.88159881	0.000510317
RBFOX1	-5.495142726	0.000510317
FAT4	3.282945654	0.000513101
TGFBR3L	-5.809989642	0.000513101
DYNC1I1	-3.218715453	0.000516281
GRAMD1C	-2.796406217	0.000516281
COL6A2	3.661461219	0.00051755
PAK6	-5.514426929	0.000518059
QSOX1	3.2709678	0.000518059
DNAI2	4.555912787	0.000519666
PARD6B	3.224668617	0.000533511
SLPI	6.494146475	0.000534144
BCL2L2	-3.34669478	0.000544763
OSBPL1A	-2.742331892	0.000545548
POSTN	3.725754429	0.000545548
TRPM8	4.341883332	0.000545548
HLA-DMB	2.984053719	0.000545662
ANKRD40	-4.256344795	0.000548089
KCNS1	-6.299981895	0.000548089
BAALC	-3.776492787	0.000561043
HMP19	-5.1202235	0.000569337
TIGD4	4.839342329	0.00057259
SLC9A3R2	-4.028377135	0.000574004
FAM219A	-3.812689645	0.000580893
ABCD1	2.962095897	0.000607146
SLC12A7	3.632480039	0.00061058
ACPT	6.771054307	0.000620785
C2orf80	-7.037724729	0.000621006
PRKCZ	-4.668728449	0.000622437
EHF	4.183260565	0.000626998
CDK5R2	-5.541664836	0.000628189
DAAM2	-3.795767546	0.000631592
AHRR	4.003734997	0.000634642
B3GAT1	-3.561936878	0.000640132
NEUROD6	-6.243859241	0.000676431
CRABP2	4.616489078	0.000676952
RNF43	4.625937109	0.00068495
TMEM132D	-7.315474963	0.00068495
KCNA1	-4.449619547	0.000688229
SLC35F3	-4.803962876	0.000688229
CAMK2N1	-4.904287658	0.0006937
IFI30	4.610822404	0.000702795
RPRML	-5.662874216	0.000702795
P2RY2	4.676202762	0.000714068
CGREF1	-4.669315549	0.000721181
ADCYAP1	-7.49573762	0.000728719
RIPK4	8.028979373	0.000730438
C10orf85	-4.23088876	0.000741277
GATS	-2.614256365	0.000751295
RARA	2.919074733	0.000752281
FBXO41	-5.704949657	0.000762096
GLI2	3.302597357	0.000766034
LOC646762	-3.531717609	0.000766034
ARHGAP28	4.745541854	0.000766589
ADAMTS7	3.861212641	0.000783003
C9orf16	-3.244258919	0.000783003
GFOD1	-4.10864468	0.000783003
TNFRSF19	3.235077646	0.000783003
COBL	-3.339462691	0.000792565
NNMT	4.842250116	0.000792565
TAC1	-5.444271531	0.000804463
CCDC39	3.78695611	0.000805076
EDA	3.709977149	0.000805076
TRAK2	-4.648047355	0.000808647
C2CD4B	-5.345130125	0.000818395
PHACTR3	-5.011617017	0.000828099
CASZ1	4.122504544	0.000830174
ECHDC3	3.767036092	0.000830174
KIF7	3.517383019	0.000849154
SRRM3	-4.588815668	0.000849154
MYZAP	5.08755543	0.000860878
FAM83H-AS1	5.075004111	0.000863854
CHPF2	3.114754687	0.000870416
DLGAP1	-5.594678382	0.000895086
TSPAN33	2.677416535	0.000897206
LOC100506385	7.309346875	0.000911631
RESP18	-6.223409219	0.000952187
ACTL6B	-4.660441049	0.000974446
BCAS1	-6.770100375	0.00099027
MYOT	-5.339278432	0.001002593
COMP	8.417705817	0.001019165
GRIN2C	-4.400324171	0.001019237
PRDM16	2.75272406	0.001019363
LINC00634	-4.191922268	0.001026677
CAMK2G	-3.021726325	0.001063054
CPLX3	-5.252009852	0.001128201
FBXW4	-4.088254202	0.00113357
SNCB	-5.144923751	0.001133642
DNAJC22	5.293626836	0.00113639
DENND2A	-3.057960547	0.00115882
PAQR6	-5.184754473	0.001174684
PSD	-5.431297977	0.001184276
SAA1	7.754703126	0.001194133
NPPA	-6.710173853	0.001195454
EMX1	-6.534868085	0.001214652
CA10	-5.829937193	0.001238588
MIDN	2.90001059	0.001272915
CLEC9A	-9.322315435	0.001290956
ASPHD1	-5.202806321	0.001303593
LOC101927728	-7.199390536	0.001318391
TEKT1	3.357361503	0.001322876
LRRN2	2.983150649	0.001329447
HSPA1B	-3.422532106	0.001346217
EIF4E3	-2.912304814	0.001348892
HECW1	-6.818049116	0.00138007
ZNF385B	-5.554241312	0.001394556
SULT4A1	-5.156456369	0.001399034
CA7	-4.556104517	0.001412016
RIT2	-4.706684269	0.001412016
SATB1	-2.963851854	0.001412016
KALRN	-4.352488012	0.001425825
DMRT2	5.969501381	0.001445373
CARTPT	-9.264559471	0.001448766
CBLN2	-7.004689509	0.001448766
SYT1	-5.051381111	0.001480505
DLG2	-4.94064858	0.001480793
ATP11A	2.600673806	0.001508875
ANXA3	-4.838000051	0.001527322
MUM1L1	-4.918333763	0.001529267
SNRPN	-4.993094676	0.001549667
ZNF467	-3.722945306	0.001549667
GALNTL5	-8.901822993	0.001558122
MUC5B	6.334472234	0.001582608
DOC2A	-4.528259187	0.001589956
MUC4	6.30437415	0.001594263
PDZD2	-3.865182059	0.001607466
ARHGAP44	-4.787768888	0.001618728
MT1G	-5.340647744	0.001618728
STX1B	-4.489846552	0.00165766
HES2	8.705895049	0.001664708
MRO	-2.491871247	0.00166723
MGLL	-3.462973096	0.001670052
DOCK9	-2.503295455	0.001685026
MAP3K10	-4.045126393	0.001693821
USHBP1	-5.380267512	0.001693821
FLJ46906	-3.401525137	0.001737516
DUSP26	-4.006366676	0.001752789
CHRNA2	-9.460983539	0.001775046
CDR1	-3.75500962	0.001777589
MAP4K4	-3.805250755	0.001788086
MBP	-6.284800928	0.001794358
DPY19L2	3.867862482	0.001799532
C1orf216	-2.697109394	0.001808352
STAT5A	2.62202507	0.001817777
HTR5A	-8.875024293	0.001888625
LOC100507534	-7.774022091	0.001895226
SYT16	-5.833813697	0.001919683
