DEGs	log2FC	qvalue
HIST1H2AJ	-12.74411065	4.02E-41
CCSER1	-5.037589705	4.49E-41
MTUS2	-7.97187918	4.49E-41
SPOCK3	-6.432987752	4.68E-41
MGST1	5.508201878	4.88E-41
AGTPBP1	-3.777500388	5.51E-41
SHPRH	-4.630844364	6.14E-41
METRN	4.641145514	6.58E-41
LMBRD2	-4.067131839	9.56E-41
RYR2	-6.83831322	1.62E-40
SSTR2	-6.963580509	2.30E-40
SLC1A6	-8.395769438	3.34E-40
FOXJ1	6.389973302	3.43E-40
PCDH11X	-8.707378932	3.43E-40
CDH7	-7.727139504	4.22E-40
AKAP6	-3.645478	4.36E-40
HIST1H2BL	-11.65479258	9.02E-40
SLC24A2	-5.696631999	1.06E-39
TCTEX1D1	6.192588232	1.56E-39
PDE1C	-5.603156556	2.19E-39
DNAAF3	7.530699727	3.01E-39
KIAA1024	-5.657536559	3.91E-39
FHAD1	6.077124631	1.30E-38
NTS	7.030554864	1.43E-38
HIST1H2AL	-11.08311143	1.90E-38
B3GALT2	-6.762664464	2.48E-38
HIST1H3H	-8.338884406	2.68E-38
PIH1D3	8.057706877	2.68E-38
PPP1R32	6.977356143	3.42E-38
CCDC108	7.821795987	6.45E-38
STMN2	-8.105823451	7.54E-38
ZNF536	-4.707987819	1.38E-37
DYNLRB2	7.700887032	2.18E-37
HIST1H2AK	-8.25086526	2.35E-37
C9orf171	7.926656541	2.37E-37
DMXL2	-3.489110541	2.82E-37
BAIAP3	5.893982621	3.37E-37
RAB3C	-8.250964375	3.54E-37
CYSTM1	4.714160274	3.63E-37
EFHD1	6.413932878	4.27E-37
GUCY1A2	-6.448041526	5.09E-37
C10orf107	5.665787712	6.37E-37
BIRC6	-3.703875622	7.11E-37
C1orf194	8.089797603	7.54E-37
WDR63	5.54187871	1.32E-36
C9orf9	5.166087983	1.33E-36
HIST1H3I	-10.9428334	2.15E-36
RPS28	5.821072543	2.49E-36
CCDC42B	8.195633647	2.65E-36
FAXC	-5.061516181	4.75E-36
RGS17	-4.727643026	5.73E-36
HIST2H2BF	-9.026128596	9.41E-36
HIST1H4L	-13.34517623	1.11E-35
WDR38	6.591580961	3.35E-35
SCARNA2	-10.19847035	4.48E-35
HIST1H2BC	-9.587574676	5.15E-35
HIST1H2AE	-8.291431024	6.66E-35
HECW1	-8.189194139	8.22E-35
MT2A	7.760251555	1.57E-34
ANO4	-6.99536968	2.12E-34
RAB36	3.673785304	2.62E-34
HIST1H2BO	-11.32172717	3.35E-34
RPL12	5.33517447	3.35E-34
HIST1H2BI	-10.73888965	3.89E-34
MYT1L	-8.840719203	4.55E-34
TEKT1	6.924731896	4.71E-34
CNTN6	-6.514194174	5.40E-34
SCARNA6	-9.373026008	6.87E-34
TEKT4	8.767182353	7.25E-34
PLXNC1	-3.286977249	7.94E-34
HIST1H4F	-13.91245147	9.13E-34
FAT4	-4.564071488	1.31E-33
TUBB4B	5.157107464	1.43E-33
TCTEX1D4	5.850991977	1.98E-33
ZNF703	5.473118815	3.94E-33
DYDC2	7.73867132	4.10E-33
EFCAB12	6.88928425	5.41E-33
CNTNAP5	-8.52301104	5.53E-33
CCDC96	6.595368374	5.54E-33
CNKSR2	-4.777874192	6.92E-33
AK7	6.703167603	7.44E-33
HIST1H4A	-6.473918116	9.01E-33
SCARNA21	-9.681181512	1.05E-32
C1orf192	5.387089213	1.12E-32
TECR	3.992930361	1.60E-32
CCDC124	4.088094797	1.70E-32
WDR65	5.819859312	1.88E-32
XKR7	-8.124251302	2.12E-32
SORBS3	3.981526487	2.72E-32
CNTNAP4	-9.144277275	2.72E-32
HIST1H2BB	-13.19373889	2.72E-32
KHDRBS2	-8.33984494	2.72E-32
LCOR	-3.849606565	2.72E-32
VWA3B	7.218997606	2.98E-32
ARRB1	-4.254326629	4.15E-32
COL9A2	5.470789932	4.55E-32
C1orf198	4.288334482	8.47E-32
TRPC3	-7.576206434	8.98E-32
MAPK8	-3.422781684	1.07E-31
RPS10	5.728872714	1.35E-31
PANK3	-4.034260132	1.37E-31
SCAMP4	4.165358713	1.40E-31
ZMYND12	5.519955058	1.44E-31
HIST1H3C	-12.47849305	1.59E-31
LRRTM2	-4.716757352	1.91E-31
PWARSN	-4.618250623	2.09E-31
HIST1H2BM	-9.972742211	2.12E-31
GABRB2	-6.25617482	2.26E-31
BTBD3	-4.193099029	2.90E-31
HIST1H4E	-6.582226686	3.24E-31
ZNF385B	-6.501066133	4.70E-31
KCNC2	-7.358706551	5.30E-31
ZNF124	-6.119505102	6.99E-31
LCORL	-3.950114393	7.13E-31
MLLT1	4.35626857	8.20E-31
KIF5C	-3.912504272	1.09E-30
KCND2	-4.78766953	1.11E-30
COASY	3.49028158	1.15E-30
NUDC	4.765415361	1.43E-30
PTPRO	-5.259779757	1.66E-30
ANP32B	4.194305012	1.84E-30
FER	-4.067440555	2.52E-30
LRRC46	6.711399495	3.39E-30
ROBO2	-5.513999215	3.51E-30
PSENEN	5.107160214	3.78E-30
ZNF254	-3.584265113	5.49E-30
SLC12A5	-4.827344876	6.23E-30
HIST1H1E	-10.01359302	6.47E-30
HIST1H2BJ	-8.669787875	6.47E-30
RPPH1	-10.74417329	8.27E-30
PCSK2	-6.448743973	1.26E-29
RPL7	5.819166301	1.39E-29
ZNF91	-4.712245307	1.46E-29
MPP6	-4.216857963	1.48E-29
TOMM6	3.29280068	1.56E-29
TCEAL3	3.980492805	1.96E-29
PTCHD2	-5.621881417	1.97E-29
KCNA1	-7.98610611	2.39E-29
PCSK1N	4.42026698	3.14E-29
DNPH1	4.565847566	3.33E-29
DMXL1	-3.14348214	3.44E-29
SPATA18	5.884033868	4.41E-29
ROPN1L	6.688967668	4.54E-29
CAMK4	-7.027983396	4.91E-29
GLUD2	-5.150081558	6.18E-29
HERC1	-3.778018765	7.33E-29
ZMYND10	7.123488308	7.33E-29
HKDC1	5.672000584	7.91E-29
TET1	-4.329650993	8.88E-29
ATP6V0C	3.941967747	9.69E-29
MTMR9	-3.486590997	1.35E-28
TXN2	3.274111052	1.47E-28
FGF5	-7.248268446	1.74E-28
KCNK1	-5.679871506	1.83E-28
HIST1H3A	-10.80935506	1.98E-28
ST6GALNAC2	5.334773077	2.01E-28
ARHGDIA	3.611347996	2.08E-28
LPPR1	-6.378282199	2.13E-28
HIST1H2BH	-9.191678377	2.47E-28
ZSCAN23	-4.443834752	3.10E-28
KIF17	3.87246305	4.85E-28
SUMO1P3	-5.766349214	5.06E-28
SLITRK6	-7.069224488	5.35E-28
DNAAF1	8.469981764	6.84E-28
HIST2H2AB	-13.24496288	7.66E-28
GNG5	4.263607057	8.21E-28
SLC8A1	-5.775409624	1.27E-27
CCDC103	4.225521946	1.67E-27
C2orf81	5.174026016	1.75E-27
MRPL12	4.9910389	1.76E-27
DCX	-6.995285256	1.86E-27
UNC5C	-5.084262822	2.17E-27
ZNF460	-4.498198294	2.23E-27
HMGN5	3.799298928	2.35E-27
HIST1H3D	-8.805276708	2.61E-27
KRT10	3.854359259	3.39E-27
LEPREL1	4.031366053	3.55E-27
PHF14	-2.979399476	3.70E-27
HIST1H2AB	-12.08181415	5.65E-27
LOC100506844	4.375833189	5.77E-27
RORC	7.017007142	6.06E-27
COL25A1	-5.993574863	6.29E-27
LOC389831	-12.84121054	6.29E-27
NDST4	-9.506298164	6.62E-27
TEX26	6.554103714	6.96E-27
RNF208	5.738615603	7.57E-27
TCTN1	2.985108816	7.90E-27
CKB	4.81503547	8.14E-27
FBRS	4.342699006	8.97E-27
SCN3A	-5.313761345	9.23E-27
HIST1H2BG	-10.13062563	1.05E-26
S100A11	5.588100326	1.27E-26
PEBP4	8.885919591	1.29E-26
EFHB	6.4664716	1.44E-26
PPDPF	4.181739443	1.44E-26
CTXN1	5.862281092	1.51E-26
RPL9	4.990615963	1.63E-26
DNAJC6	-4.16754031	1.74E-26
EYS	-4.687671311	1.84E-26
TRHDE	-8.62032412	2.16E-26
NFIC	4.492679756	2.28E-26
SOGA1	-3.524660925	2.74E-26
C15orf26	4.395644262	2.79E-26
A2ML1	4.807594585	2.83E-26
ELAVL4	-6.596136382	3.23E-26
NRIP1	-3.815105801	3.84E-26
CACNG6	7.604069576	3.96E-26
TMA7	4.758127795	5.81E-26
REEP6	4.062067118	6.02E-26
NEUROD6	-9.684565832	6.74E-26
ZBTB37	-4.575549952	7.58E-26
LOC100652824	6.092013592	7.74E-26
NBEAL1	-4.156842215	8.12E-26
PRR29	6.724997964	8.75E-26
PLEKHA4	5.213258294	9.94E-26
C1orf158	7.706870125	1.00E-25
RUNDC3B	-4.774811667	1.27E-25
CCDC74A	4.862465229	1.32E-25
MORN2	4.157788563	1.33E-25
LNPEP	-4.17394708	1.50E-25
LINC00092	4.438603823	1.62E-25
ANKRD66	9.240044276	1.77E-25
SOGA3	-5.398362124	1.81E-25
KCNJ6	-6.390314899	1.83E-25
SCARNA10	-10.15749025	2.12E-25
ZNF292	-3.461776005	2.19E-25
CELF4	-5.763950552	2.33E-25
PCDP1	5.134032487	2.79E-25
MIEN1	3.71453175	2.79E-25
DRC1	6.829932473	2.80E-25
SYT13	-6.676029601	3.09E-25
SCN2A	-6.877495035	3.09E-25
LOC101928961	-8.575386836	3.10E-25
RIIAD1	6.237868905	3.14E-25
CCDC114	8.920641189	3.56E-25
RAC1	3.815203009	3.83E-25
PHLDA3	3.264661609	3.92E-25
HIST1H4H	-6.530070067	4.04E-25
ZNF737	-3.919000631	4.96E-25
SNORA12	-9.55672212	5.30E-25
TMPRSS5	4.384995148	5.77E-25
PPP1R7	2.971549603	6.54E-25
RPS15	4.300679048	7.24E-25
SNORA53	-9.663800849	8.10E-25
SVOP	-7.297685122	8.38E-25
LRRTM3	-5.662890907	8.76E-25
GMPR	6.898260496	8.82E-25
DSCAML1	-5.465494451	9.34E-25
LINC00880	5.590969839	9.34E-25
SSBP3	4.107723592	9.67E-25
KIAA1751	5.806122033	1.18E-24
GPR12	-6.73480941	1.40E-24
RAB13	4.333020202	1.40E-24
SYT1	-4.246897409	1.40E-24
SPATA24	3.894500392	1.43E-24
RBP1	5.413524745	1.47E-24
MSRB1	3.765894436	1.56E-24
G6PC3	3.481649516	1.58E-24
HSPB1	6.235042233	1.64E-24
MSX1	6.696875167	1.93E-24
CCDC13	5.120176438	1.96E-24
CTDNEP1	2.968086655	1.96E-24
HHLA3	4.711202694	2.11E-24
HBG2	-9.741982444	2.12E-24
CDK2AP2	3.748984834	2.17E-24
ZNF792	-4.241089101	2.18E-24
PCDHGB8P	-6.988468431	2.30E-24
CNGA4	6.970900223	3.39E-24
RIBC1	5.69365877	3.42E-24
LRP1B	-4.129980262	4.80E-24
HIST1H2BE	-8.935164308	4.95E-24
LOC283788	-12.17333252	5.70E-24
AFAP1-AS1	-7.201514575	5.78E-24
INA	-7.606941024	6.57E-24
TAGLN2	4.802610118	6.77E-24
NENF	4.353994175	6.90E-24
SLC35F3	-6.053480159	7.15E-24
N4BP2	-3.702641419	7.47E-24
THSD7A	-6.026385305	7.96E-24
WDFY3	-2.717734789	8.53E-24
PTPRR	-6.713805818	1.01E-23
PLCXD2	-6.577446496	1.04E-23
ZNF782	-3.579545071	1.08E-23
HSPBP1	3.958710291	1.09E-23
NEK11	3.113304644	1.11E-23
VPS13A	-3.095257508	1.11E-23
ELAVL2	-5.762429729	1.45E-23
DNAH3	5.73703765	1.60E-23
LOC644961	-5.130977208	1.69E-23
ODF3B	7.713497048	1.69E-23
RGS7BP	-6.944838768	1.81E-23
PPM1J	5.050734127	1.82E-23
CHD9	-3.234149837	1.88E-23
ARMC3	4.845588827	1.92E-23
WDR16	6.269984112	2.03E-23
MORN3	5.249364956	2.11E-23
TMTC2	-3.697418485	2.12E-23
JPH3	-4.964676252	2.16E-23
DYNLRB1	3.369624395	2.24E-23
GABARAP	3.685373317	2.49E-23
UBTD1	3.98262064	2.64E-23
MIR31HG	6.73835823	3.03E-23
CERS1	5.834700362	3.20E-23
CRIP2	3.649693194	3.36E-23
AK8	4.290215057	3.44E-23
WBP2	3.909869796	3.63E-23
HINT2	3.849618747	3.92E-23
KLHL8	-3.171532464	4.03E-23
FAM86C2P	5.52903539	4.07E-23
ZNF681	-3.85581443	4.46E-23
DSEL	-3.223605296	5.01E-23
RPSA	4.347553162	5.17E-23
C22orf15	6.799623624	6.22E-23
NME5	3.880619425	8.95E-23
ZNF385D	-4.817426123	8.95E-23
CCDC33	8.251650447	9.71E-23
GLB1L	4.311920662	1.06E-22
SDF2L1	3.596171407	1.07E-22
HIST1H2AC	-6.221708526	1.08E-22
C9orf116	6.84396631	1.14E-22
PLCL1	-4.059009656	1.34E-22
TULP4	-3.463879139	1.49E-22
KIF9	3.827992781	1.69E-22
NAT14	4.087819245	1.77E-22
TRIM29	7.308059272	1.80E-22
TMEM190	5.649296554	1.84E-22
PAK4	3.380154153	1.91E-22
NYNRIN	-2.998756158	2.38E-22
CCDC11	5.905201585	2.42E-22
DPCD	3.584864807	2.51E-22
PLTP	4.43622786	2.58E-22
AHCTF1P1	-3.408541977	2.70E-22
BRWD1	-3.197327704	2.81E-22
TBC1D12	-2.71794923	2.86E-22
C17orf89	3.382745688	3.03E-22
ZNF704	-3.285119331	3.42E-22
PPIL6	3.593769335	3.44E-22
PGAP1	-3.496434025	3.49E-22
CDH8	-6.169189138	3.78E-22
SLC8A2	-6.414056051	3.81E-22
SEZ6	-4.275375061	4.65E-22
PCDHA5	-6.012093934	4.93E-22
PHF20L1	-2.970442753	5.43E-22
NHLRC4	6.300050812	5.57E-22
RPL10	3.282055251	5.92E-22
PLP2	4.735712283	6.57E-22
KNCN	9.113085173	6.81E-22
GABRA1	-7.642962997	6.90E-22
SRSF10	3.348036264	7.72E-22
ZBTB34	-2.75052191	8.07E-22
LAMTOR5	3.164459123	8.29E-22
PIK3CA	-2.815878207	9.19E-22
CATIP	6.580869148	9.63E-22
RAB7A	3.152864161	9.63E-22
TNFSF12	4.496574243	9.68E-22
FAM131B	-3.893269253	9.79E-22
PUS7L	-3.74329592	1.12E-21
ZNF382	-3.199009431	1.12E-21
NAV3	-3.726218953	1.32E-21
PDE1A	-7.251776357	1.45E-21
ZDHHC21	-3.343488381	1.52E-21
PCDHA12	-5.755807932	1.61E-21
SNORA22	-6.408150136	1.74E-21
HEATR5B	-2.796428049	1.75E-21
LOC388780	8.530792885	1.75E-21
ATP5G2	3.008453817	1.79E-21
GPR26	-9.631599044	1.89E-21
GPR37L1	5.769929987	2.06E-21
RPS7	5.053928164	2.10E-21
KIAA1109	-3.332198051	2.13E-21
BRWD3	-3.322248421	2.21E-21
DIRAS2	-4.320109805	2.43E-21
HIST1H1D	-10.75875971	2.76E-21
RARA	2.835134528	2.78E-21
STOML3	7.969858585	2.80E-21
BCAM	4.101169519	2.84E-21
MAN1A2	-3.067158132	2.89E-21
PRKCSH	2.969567882	2.90E-21
RASA2	-3.727754331	2.90E-21
GLRA2	-7.713119852	2.91E-21
UBL5	3.969220416	2.94E-21
EPB41	-3.561006277	3.00E-21
ARPP21	-7.581880244	3.11E-21
ZNF484	-3.70812174	3.13E-21
USP2	5.403060466	3.24E-21
SLC2A4RG	3.540836533	3.40E-21
AGR3	7.389956102	3.50E-21
ADAM22	-3.74308296	3.51E-21
COPE	2.815579405	3.51E-21
KIAA1551	-2.74715709	3.62E-21
BRAF	-3.467988937	3.69E-21
PRAF2	4.749858596	3.70E-21
RIBC2	5.405217846	3.70E-21
RPS3A	4.101195991	3.82E-21
TTBK2	-3.046874242	3.86E-21
CCDC146	4.034062525	4.01E-21
NDUFA3	4.704417663	4.03E-21
HSPE1	4.542840419	4.12E-21
MNS1	3.513166065	4.19E-21
PCDHA8	-7.013083846	4.47E-21
MCTP1	-4.952023098	4.53E-21
CBLN1	-6.534995985	5.05E-21
GPRIN2	-9.104979437	5.16E-21
LOC101927356	-6.813451165	5.16E-21
IFITM2	4.966325862	5.49E-21
ADCY1	-5.190497054	5.67E-21
LDLRAD2	7.523358842	6.59E-21
MKRN3	-3.464632003	6.84E-21
GAS2L2	6.109998978	7.96E-21
CLVS1	-3.353262155	8.18E-21
LAMTOR2	3.523772147	8.32E-21
