DEGs	log2FC	qvalue
NEUROD4	-5.011638253	1.24E-16
S100A10	7.604342708	1.24E-16
SVOP	-10.00672662	1.39E-16
PCSK2	-5.800106585	1.41E-16
PTENP1	-4.259853064	1.64E-16
NSMF	3.824107259	1.67E-16
TSPO	4.033716905	1.95E-16
RPS27A	4.25784142	1.96E-16
PLA2G2A	7.460905256	2.08E-16
RPL28	3.867733291	2.46E-16
LRRTM2	-4.344416246	2.78E-16
ZNF681	-3.934336943	3.07E-16
HERC1	-3.957324015	3.16E-16
PCDHGB8P	-6.165807663	3.29E-16
FRY	-4.447879955	3.42E-16
OCEL1	4.901386581	3.47E-16
FRRS1L	-4.378346029	3.54E-16
GPR12	-7.150665225	3.55E-16
TECR	4.159669993	3.56E-16
LMBRD2	-3.823839595	4.32E-16
RNF138P1	-5.154339618	4.32E-16
HLA-DQB1	13.52156765	4.44E-16
CCDC135	5.652825436	4.93E-16
HIST1H2BC	-7.554375613	5.22E-16
PTPRR	-5.570953618	5.40E-16
GPR126	-4.3231687	5.63E-16
HSPB7	6.20573047	6.66E-16
EXOC6B	-3.751697151	7.66E-16
HSPE1	4.920858977	7.73E-16
LOC389831	-13.22455564	7.80E-16
SFN	8.594291212	7.92E-16
DRC1	6.009387436	7.98E-16
PCDHGA6	-4.600240628	8.05E-16
PRKCB	-4.57481038	8.97E-16
PDE1A	-6.821143496	9.21E-16
WLS	4.12456149	9.82E-16
DMXL2	-3.572683966	9.89E-16
ZSCAN23	-4.780290822	1.02E-15
SCN3A	-4.623480654	1.02E-15
LPHN3	-3.552499896	1.04E-15
EML5	-4.208444474	1.08E-15
CD81	3.958777953	1.14E-15
PLD5	-5.393822723	1.16E-15
GABRA2	-5.642742569	1.17E-15
CAPSL	8.610759372	1.19E-15
NDUFS6	3.851416653	1.22E-15
SNORD15B	-6.252350658	1.34E-15
HIST4H4	-5.984690163	1.38E-15
ANKRD20A9P	-6.234456825	1.43E-15
LCOR	-3.922090968	1.45E-15
04. Mar	-6.507137804	1.46E-15
RSPH1	7.974687559	1.59E-15
SERF2	3.998178707	1.60E-15
SGIP1	-4.293893314	1.63E-15
PCDHA4	-4.524878885	1.64E-15
C9orf9	4.905430545	1.70E-15
CEP85L	-3.959337046	1.76E-15
FAM127A	3.745779206	1.76E-15
CTF1	5.247910566	1.82E-15
NLGN4Y	8.675267248	1.83E-15
FUT9	-4.481741672	1.92E-15
PAG1	-3.815157931	1.98E-15
ITPR1	-4.138648276	2.01E-15
EBF3	-8.190583547	2.04E-15
KLHL1	-12.88030002	2.07E-15
ZFP36	6.622481622	2.07E-15
FBRS	4.060153586	2.10E-15
NEUROD6	-13.33206702	2.15E-15
MMP16	-3.579889696	2.28E-15
CD99	12.89249258	2.38E-15
GABARAP	3.762703734	2.39E-15
ADIRF	5.029045599	2.55E-15
PTPN5	-5.677986044	2.88E-15
TAF1L	-7.686848902	2.94E-15
TNNI3	6.58705372	2.96E-15
STMN4	-4.174981283	2.97E-15
CYSTM1	4.63800656	3.00E-15
ZNF484	-3.825727238	3.50E-15
TAS2R31	-5.920236431	3.58E-15
CCDC103	4.620814629	3.61E-15
CTB-118N6.3	-6.301306457	3.65E-15
MIR4500HG	-6.262472729	3.72E-15
PRICKLE2-AS3	-6.272800631	3.73E-15
LOC101927356	-9.657700868	3.74E-15
SSBP3	3.935787896	3.93E-15
NPDC1	4.137892269	3.95E-15
GABRG2	-6.402305959	4.37E-15
DNM3OS	-4.727244781	4.38E-15
SH3BGR	4.616994808	4.70E-15
