DEGs	log2FC	qvalue
HSPB1	7.177947745	4.70E-30
CCDC114	7.801900542	6.17E-30
ZNF703	6.434455778	7.93E-30
KCNK9	-8.328905994	8.65E-30
HIST1H2BB	-11.74155246	1.19E-29
GABRB2	-7.367360242	1.47E-29
HIST1H1E	-8.601499492	3.24E-29
CDH18	-8.278453035	4.92E-29
SYT4	-6.702595325	6.03E-29
IGF2	7.058778976	6.90E-29
FOXJ1	7.24676905	1.15E-28
RPL23A	5.767532157	1.24E-28
FAT2	-10.46552513	1.91E-28
CETN2	5.67399805	5.90E-28
MYT1L	-11.88246554	8.72E-28
MDGA2	-6.746148849	1.06E-27
CLVS2	-7.77853891	2.17E-27
INA	-8.191007913	2.83E-27
CELF4	-6.811467268	4.53E-27
SCARNA6	-9.253149273	7.25E-27
GLRA2	-9.793007694	1.05E-26
GRIA2	-8.422525379	1.82E-26
RALYL	-5.853361067	4.26E-26
RNA45S5	-18.24138653	1.00E-25
FSIP2	-6.514994302	1.04E-25
TNR	-7.048018936	1.88E-25
RPSA	5.29932042	1.93E-25
TTN	-7.558328491	1.96E-25
ACTL6B	-8.064753127	2.05E-25
SLC24A2	-7.311870605	2.52E-25
GRIN1	-8.088939807	4.10E-25
CNTN6	-8.821998365	1.04E-24
CNTNAP5	-10.86809538	1.09E-24
IRAK3	-6.551236567	1.60E-24
GABRA1	-10.42719841	1.61E-24
BHLHE22	-11.62522553	1.81E-24
DCX	-7.064650694	1.94E-24
GMNC	6.169763009	3.40E-24
CTNNA3	-6.93605405	3.73E-24
KCND2	-5.354750577	4.11E-24
RPS10	6.456632818	4.21E-24
ARPP21	-11.26295533	7.20E-24
HIST1H2BH	-7.476096764	8.09E-24
GRM4	-8.489284887	1.22E-23
RPL12	6.071834514	1.24E-23
RPS26	7.597142114	1.32E-23
CDH7	-9.59682492	1.52E-23
SCN3B	-6.642316486	1.52E-23
KIAA1107	-5.337773963	1.76E-23
MTUS2	-6.967839225	2.15E-23
PPP1R1B	7.339596898	2.19E-23
PCSK2	-8.393838336	2.62E-23
LINC00599	-12.21812246	4.10E-23
PWARSN	-5.197040723	5.02E-23
C1orf192	5.249588214	5.41E-23
EFCAB1	6.985419655	8.05E-23
STXBP5	-5.093050275	1.18E-22
HIST1H4A	-7.097388598	1.39E-22
ASIC2	-8.248865461	1.43E-22
KCNC2	-8.699695442	1.43E-22
LOC101926964	-6.854096015	1.45E-22
RPS16	6.311537358	1.66E-22
NYAP2	-8.871942797	1.99E-22
MGAT4C	-10.52112432	2.00E-22
HBG2	-16.56087896	2.16E-22
FGF12	-5.587242947	2.33E-22
KCNJ6	-8.850622369	2.88E-22
CCDC19	7.961115082	3.00E-22
RPL18A	6.641654745	3.12E-22
SCARNA9	-6.818083794	3.48E-22
ANKRD66	9.306827335	3.64E-22
CNR1	-6.375094558	4.16E-22
GABRA2	-9.528144709	5.53E-22
PCDHA11	-6.194003273	6.06E-22
FAM81B	7.47213228	6.19E-22
RASGRF1	-8.179903421	6.19E-22
HIST1H2BI	-12.16041535	6.30E-22
HIST1H4D	-9.435198763	6.44E-22
MRPL12	5.371735614	7.70E-22
CHI3L1	7.323856145	9.08E-22
GABRG2	-8.427446	1.05E-21
LHFPL4	-5.59922851	1.22E-21
RPS7	5.679897086	1.29E-21
RIMS1	-6.664428878	1.34E-21
SNORD10	-7.021743935	1.36E-21
FGF14	-5.916683461	1.38E-21
BPIFB2	9.109679016	1.54E-21
CELF2-AS2	-10.96631981	1.93E-21
ANKRD36	-5.057206754	1.97E-21
CCDC144CP	-5.820338042	2.24E-21
HIST2H2AB	-12.14164687	2.33E-21
RPL7	6.44050005	4.34E-21
RGS17	-5.651015208	5.10E-21
B3GALT2	-6.323213007	6.21E-21
HIST1H4L	-15.35653728	6.27E-21
HIST1H2BF	-9.786120002	6.92E-21
ANKUB1	7.873885451	8.35E-21
PEBP4	8.227064797	9.84E-21
PDE1A	-7.063857633	9.88E-21
PCDHGA11	-7.344928061	1.04E-20
TENM1	-6.871011126	1.05E-20
HIST1H2AJ	-15.26701006	1.13E-20
TRPM3	-5.215992494	1.42E-20
OPRM1	-11.94126823	1.63E-20
HIST1H2AB	-9.630582157	1.70E-20
PRAME	8.36302394	1.82E-20
FGF14-IT1	-7.14597264	1.99E-20
TMEFF2	-5.280038979	2.37E-20
PIFO	6.815894275	2.52E-20
PPP1R16B	-5.344196804	2.87E-20
CACNG6	8.273419859	3.12E-20
PCDHGB5	-6.158214861	3.40E-20
AK7	6.404879334	5.41E-20
TRHDE	-11.2392522	7.60E-20
DSCAML1	-6.378066447	8.38E-20
GPR126	-5.765869907	9.54E-20
FOLR1	7.288179351	9.67E-20
SNORD17	-9.967743478	1.03E-19
AK1	6.817559955	1.10E-19
SNAP91	-4.899111464	1.26E-19
TEX26	6.157147541	1.39E-19
TEKT4	8.285177782	1.40E-19
SLC8A3	-6.429570847	1.60E-19
PCDHA6	-7.198419417	1.78E-19
SCARNA17	-5.875767463	2.00E-19
DNAAF3	7.388968212	2.12E-19
MIR133A1HG	-7.260934952	2.45E-19
TAGLN2	5.733492827	2.56E-19
ALAS2	-7.281534697	2.66E-19
C5orf49	6.508876264	2.69E-19
HIST1H2AK	-7.634917162	2.75E-19
SUMO1P3	-6.06201337	3.00E-19
SLC8A1	-5.390602072	3.22E-19
S100A11	5.626834199	3.48E-19
SLITRK6	-9.628350078	3.65E-19
TRPC3	-7.511773435	4.25E-19
SLC12A5	-5.465108635	4.36E-19
GAD2	-7.53519394	4.98E-19
MIR31HG	7.577355395	5.61E-19
SGIP1	-5.650341476	5.94E-19
OMG	-5.599287025	6.04E-19
XIST	-8.490290308	6.92E-19
SEZ6L	-5.741878549	8.81E-19
PCDHGB4	-6.430218489	9.27E-19
CBLN1	-7.322131417	9.74E-19
GDAP1L1	-5.391971446	9.74E-19
GRM5	-8.8899264	9.94E-19
RBP1	4.966885999	1.16E-18
COL9A2	5.971546478	1.21E-18
ELAVL2	-5.531754185	1.23E-18
FAM183A	9.000270514	1.23E-18
FAM92B	7.467223567	1.24E-18
SVOP	-9.682893509	1.26E-18
KCNB2	-7.109677624	1.53E-18
GPR12	-8.876158524	1.95E-18
DRC1	6.860614885	2.29E-18
CADM2	-5.97518474	2.36E-18
KIRREL3	-6.634963008	2.72E-18
ZNF385B	-6.052978533	2.72E-18
KCNA3	-5.337181735	2.98E-18
RANBP17	-4.64597732	3.03E-18
THSD7A	-4.599998743	3.36E-18
SNORA53	-8.460284136	3.51E-18
RPS3A	4.829012088	3.56E-18
CCDC74A	4.939044477	4.35E-18
ELAVL4	-5.9083184	4.83E-18
BAI3	-5.270551819	5.42E-18
AFAP1-AS1	-8.220001414	6.68E-18
JPH3	-5.750032757	7.87E-18
LOC101927356	-8.576261015	7.87E-18
RPL39	5.284485807	8.54E-18
CA8	-6.549800965	9.37E-18
SLC1A2	-5.423460911	9.60E-18
RPL10	4.454480692	1.09E-17
NKAIN2	-7.744002329	1.16E-17
HIST1H2BM	-8.323809746	1.21E-17
LINC00925	-6.722888316	1.21E-17
ZMYND10	6.897814537	1.21E-17
RPS28	6.469506715	1.27E-17
C1orf198	4.442491337	1.46E-17
GRIN2B	-9.241388436	1.46E-17
CELSR3	-4.975836272	1.56E-17
HIST1H4F	-13.81080975	2.18E-17
HECW1	-7.990086322	2.18E-17
KCNJ9	-5.803026996	2.21E-17
HIST2H2BF	-7.36252772	2.31E-17
FLRT2	-6.174181257	3.17E-17
PTPRR	-7.961956317	3.36E-17
C9orf171	8.010386729	3.44E-17
OPCML	-6.790477926	3.49E-17
EBF3	-7.621580836	3.63E-17
C10orf105	6.87131915	3.89E-17
MIR17HG	-6.104065528	4.25E-17
HIST1H3I	-13.89873907	4.32E-17
PCDHA9	-6.237728662	4.32E-17
PCDHGA12	-7.563979804	4.38E-17
KCND3	-4.999689293	4.43E-17
C11orf88	9.446179063	4.65E-17
KCNQ3	-6.089686019	5.01E-17
MYT1	-5.735534659	5.85E-17
LRRTM3	-8.924214012	7.39E-17
TCTEX1D1	5.573082031	7.73E-17
PRR29	5.596256868	7.79E-17
N4BP2L2-IT2	-5.537077739	8.13E-17
EFCAB12	6.360722016	8.20E-17
KCNG1	5.162440271	8.66E-17
SPOCK3	-8.679564772	8.77E-17
PRH2	-7.816797365	9.30E-17
GAS2L2	5.924222076	1.05E-16
PWAR5	-5.740496879	1.17E-16
ANP32B	4.833442379	1.39E-16
SYT1	-4.492474094	1.51E-16
SMPD3	-5.468654278	1.67E-16
CCDC42B	6.772049635	1.77E-16
GSTT1	8.408020176	1.80E-16
MALAT1	-5.10777923	1.80E-16
ENC1	-4.342248326	1.84E-16
AKR1E2	-6.879680074	1.90E-16
MSX1	6.900554835	2.29E-16
DSCAM	-6.386367147	2.38E-16
HPD	7.332728407	2.43E-16
VWA3B	6.405924635	2.67E-16
ANKRD36B	-4.574987146	2.95E-16
ZNF503	4.998531687	3.01E-16
LOC101929369	-6.099823704	3.20E-16
NDST4	-10.77349878	3.20E-16
TRPC5	-7.841109838	3.36E-16
C7	-11.28804665	3.57E-16
LOC101929570	-10.51304287	3.87E-16
DNPH1	4.647320248	4.11E-16
PIK3C2G	-7.660155858	4.39E-16
KCNH7	-6.581514356	4.39E-16
MORN5	7.729750415	4.55E-16
STMN4	-6.32712326	5.07E-16
LOC644961	-4.997643412	5.85E-16
FAM166B	8.121419563	6.32E-16
TLL1	-13.21207459	6.70E-16
RNF152	-5.032793202	9.91E-16
DNAJC6	-4.21807643	1.01E-15
LOC389831	-13.45848174	1.10E-15
SLC7A14	-6.743754144	1.11E-15
NOTUM	5.556702464	1.14E-15
XKR7	-10.05731109	1.16E-15
SNCB	-5.938010072	1.41E-15
HIST1H2BG	-8.110290322	1.49E-15
HIST1H3C	-13.05124441	1.49E-15
MGST1	5.001816822	1.49E-15
USP32P2	-5.866336914	1.65E-15
RPL9	4.966222969	1.71E-15
CD99	13.34055277	1.73E-15
IL1RAPL1	-7.69266326	1.89E-15
TMTC2	-4.278293635	1.90E-15
BANF1	4.961378253	2.01E-15
RIBC1	5.016434826	2.05E-15
NWD2	-8.03570447	2.06E-15
HIST1H2BJ	-6.928957027	2.25E-15
PTPRD	-4.4241751	2.29E-15
HIST4H4	-6.589483583	2.53E-15
DGKH	-6.550849836	2.61E-15
PCDHGA10	-6.093436178	2.75E-15
RSPH1	7.15353588	2.97E-15
ATCAY	-5.664583754	3.12E-15
NEUROD6	-13.56411521	3.26E-15
HKDC1	5.507932937	3.34E-15
CAPS	10.05501792	3.38E-15
PCDHA13	-7.755694386	3.44E-15
PCDHGA8	-5.35775367	3.99E-15
ST6GALNAC5	-4.941846197	3.99E-15
10. Mar	5.219057082	4.07E-15
PABPC5	-6.203481137	4.10E-15
PCDH9	-5.562837185	4.10E-15
PCDHGB6	-4.906217184	4.14E-15
RUNDC3B	-4.824109058	4.24E-15
HIST1H2AL	-12.86123359	5.26E-15
HSPB7	5.910854378	5.44E-15
SLITRK1	-5.630948865	6.85E-15
PCDHA8	-6.364504021	6.93E-15
SLC1A6	-7.530443593	7.05E-15
C1orf110	7.654845674	7.33E-15
FTH1	4.918902577	7.43E-15
PLP2	5.520298122	7.54E-15
BTBD3	-4.114826574	7.63E-15
LINC01105	-5.116252119	8.06E-15
SSTR2	-6.175691878	8.13E-15
KCNQ1OT1	-5.251965815	8.98E-15
USP2	4.847052861	9.02E-15
PLEKHA4	5.176004459	9.10E-15
ANGPTL3	-8.750912339	1.03E-14
KHDRBS2	-12.95976701	1.07E-14
TTLL10	5.700654877	1.08E-14
SEZ6	-4.526279522	1.11E-14
C2orf81	4.888435373	1.15E-14
ARHGDIA	4.118942873	1.23E-14
CCDC7	-5.183632358	1.23E-14
BCAM	4.663216348	1.27E-14
DLG2	-4.119158241	1.68E-14
VAT1L	-5.59393629	1.68E-14
LRRC7	-12.75849373	1.70E-14
GPR17	-6.202186312	1.86E-14
04. Mar	-5.762410797	1.99E-14
GPR22	-7.862884509	1.99E-14
TMEM158	4.742740814	2.09E-14
MIR4500HG	-7.934919759	2.10E-14
HIST1H3D	-7.175974587	2.19E-14
RPL6	4.060280061	2.29E-14
HIST1H2BN	-6.022635668	2.42E-14
SHPRH	-4.504308084	2.42E-14
SLC4A1	-8.322641655	2.44E-14
AMER3	-12.54881861	2.47E-14
CNTNAP4	-13.25711769	2.60E-14
C1orf87	9.603194584	2.64E-14
KRT222	-8.596022466	2.76E-14
ZNF26	7.888474002	2.81E-14
ADCYAP1	-7.579812268	3.05E-14
TBX18	-6.73011026	3.12E-14
SNORA48	-6.654211288	3.18E-14
STMN2	-6.584634426	3.22E-14
CCDC135	6.454475572	3.46E-14
CKB	5.370902741	3.52E-14
LOC283788	-12.79060205	3.78E-14
DIRAS2	-4.659971553	3.84E-14
ST6GALNAC2	5.087142886	3.90E-14
FHAD1	5.047837931	3.92E-14
GADD45G	4.108243517	4.00E-14
WDR38	6.806824656	4.05E-14
NEUROD2	-5.291804262	4.38E-14
COASY	4.110072373	4.46E-14
EFHD1	5.07453748	4.90E-14
NDUFS6	4.147615351	5.10E-14
NDUFA3	4.597305436	5.38E-14
BARHL1	-7.137825265	5.39E-14
RPS2	4.832894581	6.23E-14
NFIA-AS1	-6.941207567	7.53E-14
TAS2R31	-6.419236078	7.70E-14
RASGEF1C	-5.505531038	7.77E-14
CERS1	5.435187055	7.89E-14
GS1-18A18.1	-9.526372907	8.59E-14
TMA7	4.482876801	8.68E-14
EHF	6.437812307	9.19E-14
GMPR	5.762285934	9.71E-14
PCDHGB8P	-6.004764791	9.72E-14
KCNIP4-IT1	-12.65836612	9.77E-14
SLC38A3	4.640150639	9.87E-14
LPPR4	-5.68064356	1.09E-13
BEST4	5.377618712	1.12E-13
TMEM132B	-5.198522541	1.17E-13
GNRHR	-6.261305353	1.33E-13
GPR26	-12.91014425	1.43E-13
TUBB4B	6.227198698	1.43E-13
ZNF474	4.376344277	1.47E-13
TRIM67	-6.029056298	1.96E-13
SERPIND1	-8.006183042	2.01E-13
NRSN1	-5.462746734	2.09E-13
ZNF536	-4.332140944	2.12E-13
SLC6A8	3.828839772	2.37E-13
PWAR1	-9.223832759	2.61E-13
SPEF1	6.992270852	2.62E-13
PLXNB3	4.000634906	2.72E-13
SLITRK3	-4.769875869	2.72E-13
SULT4A1	-6.421898278	2.83E-13
KPNA5	-4.07211297	2.90E-13
PAG1	-3.863094155	2.90E-13
KCNA4	-7.234405548	3.02E-13
KRT10	4.214306852	3.06E-13
DNM3OS	-6.600053181	3.12E-13
HIST1H3E	-7.076441517	3.12E-13
CELF5	-5.170256206	3.13E-13
KLHDC9	4.276075351	3.19E-13
POTEE	-8.324856234	3.26E-13
ISLR	-4.88630754	3.28E-13
F2RL1	4.468136285	3.31E-13
PLXNC1	-3.948953388	3.44E-13
PNMT	5.222118865	3.77E-13
SCN7A	-5.507134586	3.90E-13
MCF2L2	-5.984970246	3.98E-13
TULP4	-3.980269616	4.05E-13
CCDC108	6.600885982	4.21E-13
GABRA3	-5.212211875	4.56E-13
CASC14	-5.441538902	5.39E-13
AGR3	7.826816591	5.72E-13
UNC13A	-5.137814646	5.90E-13
C1orf194	6.792814674	6.21E-13
INSM2	-9.282075661	6.27E-13
TAS2R19	-6.390260263	6.47E-13
LOC101928961	-12.08852676	6.58E-13
TRIM29	5.300825295	6.77E-13
SNORD15B	-7.83858981	6.89E-13
SMKR1	4.499344145	6.99E-13
RPS27A	4.507757259	7.67E-13
GPR63	-4.315138854	7.92E-13
FUT9	-4.938169854	9.16E-13
C17orf96	4.444786892	9.26E-13
CHCHD10	4.76348654	9.52E-13
HIST1H2AD	-8.772664345	9.80E-13
LOC100506844	4.453274264	9.85E-13
FAM155A	-5.825168349	9.90E-13
HMP19	-6.070624933	1.00E-12
CHL1-AS1	-8.282795954	1.05E-12
FGF5	-7.441142828	1.09E-12
HIST1H3H	-7.488057619	1.13E-12
CATIP	5.769605692	1.15E-12
PCDHAC2	-4.412855927	1.15E-12
RPL41	4.472923533	1.29E-12
CLEC19A	7.859831419	1.39E-12
FAM131B	-3.963345494	1.53E-12
ANKRD20A9P	-6.778949129	1.54E-12
ZNF385D	-5.162084024	1.57E-12
HIST2H3D	-5.057476646	1.63E-12
CHGA	-4.453505682	1.72E-12
KLHL1	-11.6777945	1.80E-12
GABRA4	-8.177420314	1.82E-12
FAT4	-4.238037272	1.87E-12
FHL5	-6.234199139	1.88E-12
GALNT13	-4.778633983	1.91E-12
ZNF385A	5.064768309	1.94E-12
PLCD3	5.243405792	1.95E-12
KRTCAP2	3.855418702	1.96E-12
SIVA1	3.872842054	2.00E-12
PTMS	4.327308708	2.06E-12
ZNF91	-4.201269038	2.07E-12
MAPT-IT1	-6.527205033	2.20E-12
RNF208	5.303550968	2.20E-12
RORA	-4.444565311	2.21E-12
MGC70870	-12.77254349	2.29E-12
PDE10A	-4.527202126	2.34E-12
LRRC4C	-5.011994819	2.46E-12
LOC101929653	-7.053143128	2.51E-12
TIMP1	4.599221426	2.57E-12
RPS18P9	-4.461248082	2.60E-12
CCDC96	6.277087816	2.80E-12
EPHA5	-7.984761221	2.82E-12
CTB-118N6.3	-5.366718796	2.91E-12
PRKCB	-5.89165172	3.06E-12
NR2F2-AS1	-7.048033261	3.09E-12
PCDHA10	-6.660343395	3.16E-12
MIR124-2HG	-6.79837765	3.32E-12
MYH14	4.399235473	3.36E-12
LYVE1	-6.13742942	3.64E-12
SLC6A5	-11.73877659	3.82E-12
LHX1	-11.51522841	3.87E-12
PLD5	-5.137749286	3.94E-12
SYN3	-5.656942274	3.96E-12
HIST1H2BE	-7.459152253	4.08E-12
SNORA22	-9.014325429	4.43E-12
TBC1D32	-3.709732967	4.51E-12
CRHR1	-5.541579229	4.69E-12
